rank,global_frame,seq_id,t,score,selection_mode,rmse_bilinear,rmse_resshift50m,rmse_wrd_full,mae_bilinear,mae_resshift50m,mae_wrd_full,rel_improve_vs_resshift,rel_improve_vs_bilinear,structure,panel_png
1,423,5,63,0.52073509,strict_wrd_best,0.88411438,0.46166655,0.38954341,0.58833742,0.30737215,0.26257360,0.15622345,0.55939704,0.95894051,comparison/panels/era5_72/rank01_seq005_t063.png
2,713,9,65,0.48901474,strict_wrd_best,0.85084349,0.42756534,0.36639130,0.55632591,0.28359240,0.24796458,0.14307529,0.56937873,0.92105281,comparison/panels/era5_72/rank02_seq009_t065.png
3,643,8,67,0.48803613,strict_wrd_best,0.90893322,0.42747617,0.37136316,0.55947453,0.28068271,0.24323183,0.13126580,0.59142965,0.92254436,comparison/panels/era5_72/rank03_seq008_t067.png
4,640,8,64,0.48598450,strict_wrd_best,0.90179855,0.43034565,0.37318501,0.55567634,0.28842682,0.24859105,0.13282496,0.58617699,0.92049575,comparison/panels/era5_72/rank04_seq008_t064.png
5,636,8,60,0.47645491,strict_wrd_best,0.91760594,0.45237285,0.39501390,0.56513113,0.30180833,0.25958195,0.12679574,0.56951690,0.92706120,comparison/panels/era5_72/rank05_seq008_t060.png
6,15,0,15,0.47510570,strict_wrd_best,0.96535522,0.51354825,0.45490491,0.59032166,0.30377743,0.27646330,0.11419246,0.52876943,0.97567010,comparison/panels/era5_72/rank06_seq000_t015.png
7,39,0,39,0.47297218,strict_wrd_best,0.87801528,0.45587793,0.40489537,0.58665425,0.30588931,0.26745880,0.11183381,0.53885156,0.96858692,comparison/panels/era5_72/rank07_seq000_t039.png
8,426,5,66,0.46978661,strict_wrd_best,0.91914964,0.43867096,0.39648825,0.59227806,0.29764068,0.26293844,0.09616026,0.56863582,0.96708393,comparison/panels/era5_72/rank08_seq005_t066.png
9,140,1,68,0.46785212,strict_wrd_best,0.84632093,0.42288756,0.37016270,0.55828357,0.27745923,0.24958186,0.12467822,0.56262136,0.92150497,comparison/panels/era5_72/rank09_seq001_t068.png
10,164,2,20,0.46752930,strict_wrd_best,0.96391308,0.46133283,0.42121723,0.59449565,0.30063784,0.27290994,0.08695587,0.56301332,0.98265237,comparison/panels/era5_72/rank10_seq002_t020.png
11,43,0,43,0.46492618,strict_wrd_best,0.86820996,0.45732549,0.40314412,0.57851452,0.30130628,0.26592800,0.11847441,0.53566056,0.94681978,comparison/panels/era5_72/rank11_seq000_t043.png
12,710,9,62,0.46387237,strict_wrd_best,0.86699945,0.44402498,0.39084050,0.56363094,0.29085204,0.25923693,0.11977813,0.54920328,0.93293589,comparison/panels/era5_72/rank12_seq009_t062.png
13,187,2,43,0.46378714,strict_wrd_best,0.88022667,0.41578999,0.36878571,0.54352343,0.27795336,0.24224061,0.11304814,0.58103329,0.92032182,comparison/panels/era5_72/rank13_seq002_t043.png
14,169,2,25,0.46328521,strict_wrd_best,0.95392150,0.47568554,0.42617330,0.57011664,0.29664558,0.26758295,0.10408607,0.55324072,0.95476449,comparison/panels/era5_72/rank14_seq002_t025.png
15,264,3,48,0.45795670,strict_wrd_best,0.82640648,0.41249120,0.36313942,0.55028754,0.28319874,0.25068969,0.11964323,0.56058013,0.91502959,comparison/panels/era5_72/rank15_seq003_t048.png
16,49,0,49,0.45793796,strict_wrd_best,0.85941947,0.46048760,0.40335009,0.56821489,0.29724228,0.26275831,0.12408047,0.53067148,0.92981887,comparison/panels/era5_72/rank16_seq000_t049.png
17,373,5,13,0.45439741,strict_wrd_best,0.84188634,0.42671534,0.37707725,0.56277716,0.29371476,0.25806209,0.11632600,0.55210435,0.92089742,comparison/panels/era5_72/rank17_seq005_t013.png
18,183,2,39,0.45181543,strict_wrd_best,0.95475167,0.44086123,0.40213114,0.57322139,0.29072234,0.26263064,0.08785097,0.57881075,0.94369060,comparison/panels/era5_72/rank18_seq002_t039.png
19,279,3,63,0.44919193,strict_wrd_best,0.86277956,0.42586535,0.38127616,0.55796993,0.28363648,0.25410342,0.10470255,0.55808389,0.92702019,comparison/panels/era5_72/rank19_seq003_t063.png
20,705,9,57,0.44841844,strict_wrd_best,0.90997159,0.46106797,0.41574559,0.56948769,0.29777753,0.27390832,0.09829871,0.54312247,0.94732916,comparison/panels/era5_72/rank20_seq009_t057.png
