frame_idx,srno,edsr,basicvsrpp,rvrt,vrt,sdift,wdno,resshift50m,wrd_kcs_wsdf
0,0.3025789059,0.3255514569,0.2969398897,0.3495346262,0.3160891560,18.4179208006,6.3664857740,0.3693361251,0.3242659954
1,0.3004963782,0.3231644485,0.2744950255,0.3336590534,0.2987762698,18.4608316209,6.2496237591,0.3728971430,0.2984706655
2,0.2918177234,0.3134920162,0.2640797653,0.3286244369,0.2965051370,18.5030295682,7.2232962736,0.3617676673,0.2906857211
3,0.2812966138,0.3078073024,0.2543606288,0.3225292599,0.2911100600,18.4293003436,7.2024727616,0.3489444564,0.2814519715
4,0.2676746423,0.2940054136,0.2482326677,0.3293852228,0.2886572665,18.4940294285,7.6892850862,0.3313104606,0.2780024739
5,0.2828803502,0.3085775092,0.2525262260,0.3166323517,0.2931689345,18.4452237768,7.7161280109,0.3502921804,0.2830383321
6,0.2838379687,0.3101972844,0.2564606967,0.3335218357,0.2968461535,18.5093155115,8.1387153743,0.3468639006,0.2882275985
7,0.2919256649,0.3182050452,0.2627804685,0.3264995112,0.2971708098,18.5013483502,8.1180295111,0.3551739804,0.2943407276
8,0.3006473184,0.3246800415,0.2692516371,0.3464957636,0.3058946824,18.5322129815,8.2468793303,0.3636183691,0.2998167182
9,0.3053267823,0.3292432298,0.2790594467,0.3374333939,0.3121899278,18.5253432911,8.2399806039,0.3711583569,0.3100089111
10,0.3197318740,0.3428522788,0.2882347664,0.3492261658,0.3215621432,18.5524628683,8.1092386687,0.3857773774,0.3194102902
11,0.3099474918,0.3339836744,0.2747182345,0.3269201074,0.3091835462,18.5268819217,8.1110513698,0.3790343209,0.3050405128
12,0.3073752531,0.3298632534,0.2717035725,0.3387240502,0.3035355754,18.4914235553,8.0246348892,0.3777564864,0.2982323737
13,0.3048454393,0.3270231083,0.2722139425,0.3220528390,0.3035087773,18.4428792861,8.0037825116,0.3781883517,0.2978021257
14,0.3142358228,0.3325681226,0.2731354173,0.3313229367,0.3055208634,18.4082561532,7.6967508158,0.3902386990,0.3025780030
15,0.3179697795,0.3367351241,0.2749137003,0.3240760673,0.3095972147,18.3421990937,7.6885455639,0.3937479430,0.3048899660
16,0.3036521554,0.3251074198,0.2684851363,0.3223536700,0.3014723729,18.2577374497,7.2671051524,0.3765598488,0.3004249206
17,0.3045214521,0.3241762357,0.2680313461,0.3116409780,0.3015839511,18.1902980745,7.3084494722,0.3709057429,0.2975127866
18,0.3001369204,0.3210455366,0.2654096084,0.3130203278,0.2956557387,18.1313735790,6.0717313558,0.3692833837,0.2968081485
19,0.2952034023,0.3169170022,0.2616328371,0.2969252146,0.2956248596,18.0783142056,6.0534598395,0.3660421485,0.2942918539
20,0.2992648454,0.3182856502,0.2642898973,0.3096246047,0.3002388706,18.0101518665,6.0871350674,0.3702619093,0.2959270429
21,0.3043248444,0.3258177522,0.2759175672,0.3106283838,0.3141915696,18.0979469178,6.1115529899,0.3752181361,0.3078360006
22,0.3155513436,0.3366799880,0.2842132333,0.3244999964,0.3118637302,18.0373020202,5.0567374582,0.3805098495,0.3166813166
23,0.3153884876,0.3372181680,0.2970093134,0.3335489710,0.3315494018,17.9055366076,5.0048963007,0.3835798160,0.3334420147
