frame_idx,srno,edsr,basicvsrpp,rvrt,vrt,sdift,wdno,resshift50m,wrd_kcs_wsdf
0,0.4345685695,0.4565002807,0.4269902182,0.5032009568,0.4414320565,22.7274987389,7.1334779160,0.5249193052,0.4678558741
1,0.4300666013,0.4527702462,0.4003665512,0.4843567791,0.4177245798,22.7720508970,6.9832294833,0.5303698823,0.4378944615
2,0.4222398617,0.4422655485,0.3893040377,0.4760291442,0.4153146905,22.8181488659,8.0552700417,0.5200458122,0.4310195036
3,0.4155828417,0.4381935654,0.3808881855,0.4718658527,0.4117149404,22.7537968375,8.0039423331,0.5092533262,0.4235330197
4,0.3997453725,0.4240229073,0.3772684149,0.4774949438,0.4099680122,22.8174263059,8.6449256450,0.4863932756,0.4230347786
5,0.4232779042,0.4450467172,0.3869349206,0.4693294939,0.4207982377,22.7845702217,8.6442459635,0.5153274607,0.4343842440
6,0.4256918878,0.4492220491,0.3935200473,0.4915888194,0.4264421080,22.8392949912,9.2135276048,0.5129614660,0.4430368105
7,0.4392150530,0.4622903539,0.4047866202,0.4854948579,0.4302601691,22.8334478877,9.1642336902,0.5243918349,0.4535432471
8,0.4506839495,0.4719436790,0.4117372742,0.5120255635,0.4421487805,22.8590030327,9.3549737728,0.5339716977,0.4618665675
9,0.4538668503,0.4745144584,0.4202175586,0.4996128720,0.4481107284,22.8588946830,9.3230974970,0.5391807159,0.4692518828
10,0.4618824302,0.4844360275,0.4228036927,0.5049918360,0.4526795310,22.8748361184,9.2367457067,0.5499479183,0.4733333360
11,0.4455416265,0.4688101221,0.4020483677,0.4729144743,0.4345674548,22.8584846752,9.2113923017,0.5399215832,0.4479310184
12,0.4434819677,0.4653929147,0.4007378868,0.4881391157,0.4268788351,22.8317548751,9.1482502637,0.5417947006,0.4380679343
13,0.4435778804,0.4627714940,0.4013396387,0.4688653747,0.4273691838,22.8033775592,9.1134238144,0.5413573213,0.4371429846
14,0.4498407281,0.4672972302,0.4000349602,0.4767710229,0.4285169080,22.7860097729,8.7902697955,0.5564405378,0.4444919061
15,0.4543291346,0.4723982226,0.4029152771,0.4670411149,0.4338336166,22.7338833947,8.7591776251,0.5580224978,0.4468055503
16,0.4395582692,0.4594483212,0.3976274098,0.4652124758,0.4240591900,22.6623647371,8.3056135270,0.5367722921,0.4431827047
17,0.4383158247,0.4566983176,0.3940946619,0.4522827778,0.4222915379,22.6119233088,8.3197683205,0.5280454403,0.4388873132
18,0.4307439328,0.4507715423,0.3883081119,0.4491082833,0.4162077970,22.5636688367,6.9433565049,0.5254327598,0.4383902530
19,0.4222403786,0.4442480698,0.3842056689,0.4294904986,0.4141514615,22.5271790683,6.8876676710,0.5207414561,0.4347678139
20,0.4292055851,0.4466223668,0.3852050964,0.4448171306,0.4190820552,22.4676563031,6.9534578069,0.5273745843,0.4350164747
21,0.4378352707,0.4590831923,0.4048824114,0.4521207964,0.4413557730,22.5633030747,6.9676063303,0.5339556743,0.4535842585
22,0.4501118671,0.4714273025,0.4109520289,0.4684887840,0.4368658165,22.5016105541,5.8159857294,0.5355830066,0.4582541990
23,0.4455212900,0.4674727719,0.4245390331,0.4782230876,0.4564549594,22.3964840327,5.7517458168,0.5350057336,0.4772828247
