frame_idx,srno,edsr,basicvsrpp,rvrt,resshift50m,wrd_kcs_wsdf
0,0.2628438446,0.2792439166,0.2959727271,0.3158763364,0.2815030110,0.2896961437
1,0.2628100279,0.2782580910,0.2879166459,0.3118856508,0.2833220607,0.2709565048
2,0.2661261834,0.2794793193,0.2831687268,0.3056377111,0.2852825974,0.2667857363
3,0.2685022039,0.2814652737,0.2798335918,0.3029135919,0.2844856118,0.2673393508
4,0.2681216410,0.2815749451,0.2774098010,0.3026868858,0.2831688630,0.2640028398
5,0.2691584760,0.2824641956,0.2778668689,0.3042855325,0.2834773579,0.2632914862
6,0.2700346493,0.2840044314,0.2796874289,0.3074281032,0.2849995730,0.2655742534
7,0.2686664886,0.2837508045,0.2820820393,0.3099151235,0.2864116873,0.2625668525
8,0.2684368806,0.2839313782,0.2836745136,0.3113974822,0.2882359196,0.2664934318
9,0.2693994194,0.2838527790,0.2882124119,0.3156701051,0.2892686826,0.2675618322
10,0.2789849770,0.2927983331,0.2985765323,0.3269503524,0.2992879030,0.2800239111
11,0.2771444890,0.2913480532,0.2974108672,0.3280724354,0.2969079019,0.2736649427
12,0.2769436904,0.2914084716,0.2979989671,0.3281683024,0.2950591043,0.2721342777
13,0.2761959677,0.2906945830,0.2986480902,0.3289787583,0.2941723666,0.2665074319
14,0.2735225446,0.2894272317,0.2979205104,0.3277143663,0.2918856494,0.2660538227
15,0.2708463148,0.2877074113,0.2980157477,0.3269197143,0.2884930165,0.2612014229
16,0.2672537376,0.2848926002,0.2976365157,0.3241779467,0.2865187151,0.2618499620
17,0.2657111525,0.2824351837,0.2967930110,0.3227880271,0.2825039767,0.2580851301
18,0.2660244115,0.2821241708,0.2970406559,0.3235928089,0.2817453839,0.2599104420
19,0.2648892314,0.2816567871,0.2956996405,0.3227504458,0.2808347143,0.2558723290
20,0.2641864913,0.2789869896,0.2944344173,0.3213634371,0.2809379044,0.2564887281
21,0.2632721785,0.2783273372,0.2946744300,0.3209370378,0.2812046133,0.2553774617
22,0.2671220492,0.2814316541,0.2972887660,0.3232525895,0.2855727554,0.2613068611
23,0.2625119354,0.2777001668,0.2916346971,0.3175207158,0.2804030779,0.2536720401
24,0.2617456190,0.2775337129,0.2887803477,0.3128618808,0.2805641285,0.2548885381
25,0.2601886620,0.2745920040,0.2835616718,0.3084714608,0.2795035748,0.2521461582
26,0.2595647600,0.2729761537,0.2775741758,0.3020728291,0.2788240208,0.2546211229
27,0.2611719609,0.2756179786,0.2757454397,0.3001684247,0.2798419299,0.2532924813
28,0.2632026279,0.2794558309,0.2766283610,0.3003237967,0.2812621053,0.2572026151
29,0.2661233846,0.2819897835,0.2781948257,0.3029426892,0.2818489750,0.2567313030
30,0.2688458195,0.2846482292,0.2815595083,0.3059391791,0.2843388615,0.2620820997
31,0.2702001776,0.2865546475,0.2847169793,0.3090917587,0.2860952641,0.2625928036
32,0.2693178569,0.2848419588,0.2860854345,0.3107034483,0.2854681130,0.2666636106
33,0.2693626877,0.2846516075,0.2897232749,0.3138584455,0.2884129274,0.2667354651
34,0.2794900872,0.2930397104,0.2994864518,0.3232943447,0.2985983120,0.2768974117
35,0.2772654461,0.2908544056,0.2979058885,0.3221281338,0.2972589975,0.2706111765
36,0.2753567142,0.2893862591,0.2966144164,0.3217176979,0.2946405819,0.2699002493
37,0.2731714806,0.2879046569,0.2970892219,0.3236143004,0.2930732878,0.2649962746
38,0.2716025819,0.2864044307,0.2964989902,0.3224299347,0.2907204105,0.2644964231
39,0.2677714812,0.2835113199,0.2949210962,0.3206126849,0.2868419652,0.2587929893
40,0.2656252172,0.2806633254,0.2938708187,0.3196913089,0.2859968955,0.2581806882
41,0.2635193987,0.2787876239,0.2932400452,0.3189352308,0.2828490149,0.2545360878
42,0.2622177013,0.2770745716,0.2920775414,0.3181623056,0.2815907233,0.2563456510
43,0.2620930055,0.2774423146,0.2919985462,0.3175849014,0.2801637968,0.2540591269
44,0.2616064466,0.2769893373,0.2913469853,0.3178955972,0.2791636027,0.2554962261
45,0.2623867386,0.2766363961,0.2922984746,0.3175402455,0.2792908338,0.2543871353
46,0.2674921104,0.2817644404,0.2962375734,0.3220084801,0.2840814576,0.2604797881
47,0.2646634132,0.2788379212,0.2926210797,0.3199003222,0.2826779185,0.2566517251
48,0.2630816282,0.2766515364,0.2887366608,0.3160093600,0.2820760522,0.2574985344
49,0.2615079660,0.2749806309,0.2847707567,0.3113508421,0.2831806647,0.2549062911
50,0.2628291923,0.2755229405,0.2812226087,0.3071996361,0.2851875683,0.2567033248
51,0.2636336699,0.2778177806,0.2797980283,0.3060774188,0.2840441377,0.2565518365
52,0.2662836828,0.2823001620,0.2813134981,0.3071855674,0.2856514926,0.2612497741
53,0.2683836335,0.2849955456,0.2821925462,0.3088910608,0.2850476609,0.2603915331
54,0.2690831539,0.2861112626,0.2820535894,0.3088068513,0.2858646305,0.2622026876
55,0.2705152836,0.2860563974,0.2847518978,0.3107308106,0.2862940970,0.2616020946
56,0.2698226188,0.2859637375,0.2869239852,0.3126150487,0.2871898634,0.2651253931
57,0.2700022459,0.2859504532,0.2908560154,0.3167285803,0.2892098781,0.2662654510
58,0.2791792280,0.2936469437,0.3000116190,0.3255258545,0.2987632972,0.2753569924
59,0.2799812484,0.2929832601,0.2986136418,0.3262207034,0.2976711537,0.2708095016
60,0.2781009057,0.2905786044,0.2972238068,0.3246839320,0.2958709657,0.2701438822
61,0.2752755207,0.2882049858,0.2967425042,0.3237651011,0.2933342250,0.2642976551
62,0.2710947401,0.2852105891,0.2948962817,0.3213751222,0.2901522201,0.2621385325
63,0.2676509274,0.2816858770,0.2933812141,0.3196532650,0.2870721456,0.2583568824
64,0.2649970925,0.2782847323,0.2919719202,0.3183010796,0.2844104715,0.2573734652
65,0.2624136785,0.2758938181,0.2912558597,0.3182310375,0.2822932101,0.2540412326
66,0.2613874847,0.2750257813,0.2907020436,0.3163838332,0.2789811525,0.2537405512
67,0.2612249224,0.2756184712,0.2909092617,0.3176872688,0.2792676851,0.2520741587
68,0.2603396595,0.2757530398,0.2912764003,0.3157445134,0.2797919397,0.2558500141
69,0.2601111673,0.2756618122,0.2927486743,0.3160058194,0.2800171406,0.2600436293
70,0.2658008015,0.2820278932,0.2984710419,0.3222350864,0.2844879562,0.2732555728
71,0.2634678162,0.2804222300,0.3001517032,0.3195669803,0.2820729462,0.2878869125
