frame_idx,srno,edsr,basicvsrpp,rvrt,resshift50m,wrd_kcs_wsdf
0,0.4153017386,0.4394413116,0.4896147450,0.5248050654,0.4277676022,0.4472790744
1,0.4183594272,0.4384730717,0.4757114016,0.5201415569,0.4305141203,0.4197869064
2,0.4224874123,0.4401695937,0.4653915772,0.5050024570,0.4340923925,0.4141870644
3,0.4234356742,0.4418116386,0.4563984434,0.4954849074,0.4344914211,0.4146796073
4,0.4229458225,0.4408514449,0.4500956154,0.4927856276,0.4329883829,0.4074679994
5,0.4261102660,0.4428518580,0.4516955128,0.4973029319,0.4362858439,0.4067922066
6,0.4259546997,0.4443489557,0.4555387845,0.5038414267,0.4379496278,0.4093708533
7,0.4193693359,0.4402436725,0.4583889272,0.5065537696,0.4374963438,0.4037646952
8,0.4161159090,0.4394967390,0.4613845717,0.5088972856,0.4360884169,0.4071800851
9,0.4164339367,0.4377551157,0.4693521631,0.5163266245,0.4358449208,0.4101872726
10,0.4324363066,0.4534337097,0.4864440772,0.5333388340,0.4517418527,0.4302825846
11,0.4316550037,0.4544812311,0.4904332256,0.5395147778,0.4505925472,0.4234959453
12,0.4323119560,0.4564486893,0.4964988360,0.5427670939,0.4472690924,0.4205187235
13,0.4346941844,0.4571396834,0.4996768679,0.5462112369,0.4490892422,0.4135675816
14,0.4301306644,0.4551662310,0.4988444119,0.5439991618,0.4453696328,0.4096033075
15,0.4239218305,0.4501386484,0.4970189660,0.5416160038,0.4367408647,0.4015786386
16,0.4165310923,0.4465356643,0.4960015706,0.5376112074,0.4323462885,0.4012982132
17,0.4134665071,0.4415889789,0.4951018914,0.5351309595,0.4234319704,0.3958551106
18,0.4128728943,0.4388950584,0.4942662426,0.5335030840,0.4220560855,0.3968664645
19,0.4103224508,0.4381707354,0.4916677095,0.5300484772,0.4216731517,0.3915263830
20,0.4107248287,0.4335523090,0.4889754492,0.5284693247,0.4213702044,0.3918828974
21,0.4083190839,0.4328077905,0.4885635100,0.5279050515,0.4221661275,0.3917627066
22,0.4135690492,0.4379999707,0.4894541646,0.5275932742,0.4274650282,0.3991660835
23,0.4081988187,0.4332399761,0.4810711776,0.5181340398,0.4195546428,0.3881495965
24,0.4080632323,0.4341771809,0.4767940835,0.5112659468,0.4213173861,0.3885916286
25,0.4045689103,0.4285144270,0.4662028395,0.5018301992,0.4206742219,0.3853001561
26,0.4033785754,0.4254843657,0.4526105368,0.4881960407,0.4176634475,0.3864782403
27,0.4077006405,0.4311179702,0.4492941039,0.4876400444,0.4213705163,0.3872606525
28,0.4109541597,0.4365270876,0.4497257347,0.4857263135,0.4245844882,0.3923713950
29,0.4164247163,0.4380144276,0.4509740224,0.4887922275,0.4258958041,0.3926077041
30,0.4192588064,0.4412673599,0.4574109816,0.4938086951,0.4297157465,0.4003611915
31,0.4208519087,0.4449641888,0.4654648362,0.5016385076,0.4324747375,0.4042829801
32,0.4175049277,0.4410938785,0.4673380353,0.5031908048,0.4297149930,0.4075762067
33,0.4154370585,0.4390767551,0.4715101092,0.5085584462,0.4331356505,0.4066095696
34,0.4292799929,0.4500555670,0.4833379280,0.5192092484,0.4461673253,0.4184280067
35,0.4288317785,0.4488961759,0.4832126625,0.5201750607,0.4462069988,0.4100237638
