frame_idx,srno,edsr,basicvsrpp,rvrt,resshift50m,wrd_kcs_wsdf
0,0.1045199088,0.1297962484,0.6268264745,0.1840652725,0.0891595581,0.1692064150
1,0.1049357784,0.1277105433,0.6114654581,0.1824934069,0.0867173199,0.1632463821
2,0.1080667438,0.1324527860,0.6365805997,0.1823504713,0.0927792324,0.1689189985
3,0.1066845335,0.1306284317,0.6387893199,0.1844765443,0.0900819303,0.1704660390
4,0.1068499993,0.1316905444,0.6682908841,0.1936556724,0.0901803042,0.1774132417
5,0.1088663208,0.1334951794,0.6479669220,0.1928746756,0.0910945487,0.1759154620
6,0.1053483398,0.1314359341,0.6317758385,0.1934360216,0.0905566073,0.1727395312
7,0.1045949444,0.1291802174,0.6308328642,0.1878442106,0.0898930589,0.1692866921
8,0.1030660711,0.1298402081,0.6399652864,0.1865810637,0.0882906278,0.1671738402
9,0.1016023313,0.1323630180,0.6139049724,0.1862927707,0.0874751149,0.1661541062
10,0.1026985339,0.1272400646,0.6293990065,0.1842916256,0.0884169421,0.1639986069
11,0.0999848680,0.1247616672,0.6013634225,0.1767083415,0.0849919692,0.1629491809
12,0.1004728461,0.1247148668,0.6230300467,0.1796647724,0.0835474862,0.1628823499
13,0.1027272044,0.1255249757,0.6122037395,0.1805024692,0.0863629703,0.1637007605
14,0.0956719947,0.1200180774,0.5615347388,0.1659462340,0.0822722566,0.1486511732
15,0.0910274763,0.1124859624,0.5837788774,0.1568081035,0.0758601944,0.1465650318
16,0.0903838982,0.1118316445,0.6025092698,0.1590250200,0.0750814258,0.1420219960
17,0.0861493412,0.1057422714,0.5820906353,0.1510275377,0.0693808637,0.1384683988
18,0.0859200982,0.1060415036,0.5881442346,0.1530814001,0.0691535915,0.1383087082
19,0.0942432441,0.1182247566,0.6172973325,0.1691746665,0.0790680461,0.1546307554
20,0.0969098699,0.1185548685,0.6248216769,0.1698708955,0.0791598461,0.1561061958
21,0.0960542716,0.1207091498,0.6133758362,0.1747321825,0.0802548380,0.1615275998
22,0.0981918178,0.1227314140,0.6190307776,0.1765092507,0.0830712744,0.1602448091
23,0.0964038744,0.1198175968,0.5932906435,0.1706998606,0.0811623653,0.1536544932
24,0.0946318772,0.1183396465,0.5856493290,0.1680892204,0.0810371128,0.1533468892
25,0.0945077898,0.1206811683,0.6091543245,0.1694451637,0.0797505505,0.1551281284
26,0.0972911860,0.1200184251,0.6459712290,0.1756483586,0.0805287518,0.1623785049
27,0.0992213617,0.1216723459,0.6287043909,0.1767063586,0.0816313391,0.1589715735
28,0.1012397371,0.1241702526,0.6138931744,0.1792396087,0.0847344181,0.1640901525
29,0.1054725928,0.1289208986,0.6466142019,0.1834915599,0.0891239453,0.1664589792
30,0.1054270668,0.1283925985,0.6690487141,0.1839667089,0.0907316067,0.1654334314
31,0.1004259646,0.1280479171,0.6339054664,0.1837662245,0.0871823551,0.1664070548
32,0.1001571887,0.1250420803,0.6379764952,0.1848779221,0.0846699952,0.1652314226
33,0.1079265462,0.1310229113,0.6668543875,0.1860978231,0.0929360081,0.1691162672
34,0.1087298804,0.1333119854,0.6472538029,0.1889465060,0.0931229572,0.1744724181
35,0.1014264015,0.1251474768,0.5977464845,0.1795864920,0.0850266630,0.1620012094
36,0.1021390134,0.1262470641,0.5974543751,0.1775655655,0.0883294872,0.1624855006
37,0.0964557308,0.1171887307,0.5995467174,0.1682158003,0.0812500485,0.1532556724
38,0.0922172253,0.1138531212,0.5956815867,0.1616444170,0.0788938160,0.1459371030
39,0.0922666828,0.1121017322,0.5986704923,0.1643182788,0.0744573002,0.1461911765
40,0.0887121783,0.1122567210,0.5961761392,0.1670109082,0.0736921479,0.1438937180
41,0.0888717920,0.1089246958,0.5862983050,0.1565075409,0.0731302641,0.1421843344
42,0.0874391039,0.1086366699,0.5835495380,0.1574405484,0.0741317134,0.1425677955
43,0.0871387806,0.1088807312,0.5709148468,0.1538725773,0.0726963711,0.1352258936
44,0.0850620893,0.1048891803,0.5735715882,0.1501352612,0.0711311372,0.1341769943
45,0.0839825562,0.1040423095,0.5627605203,0.1504870948,0.0713885205,0.1335380761
46,0.0791152429,0.0995947577,0.5682276667,0.1427807183,0.0637927317,0.1298372462
47,0.0798669407,0.0991791107,0.5822750470,0.1475577753,0.0645603364,0.1288293951
48,0.0799963993,0.0993099119,0.5874390391,0.1448111917,0.0642432440,0.1313797797
49,0.0841231437,0.1065540312,0.5644689054,0.1540218073,0.0714535767,0.1340103486
50,0.0856998507,0.1038449402,0.5502469314,0.1463238682,0.0700360047,0.1331184297
51,0.0836351436,0.1042894977,0.5716070206,0.1508645670,0.0673341861,0.1341919181
52,0.0829064242,0.1026483423,0.5893306199,0.1465542613,0.0684631739,0.1326455634
53,0.0828663597,0.1045585796,0.5999682484,0.1512069574,0.0683882012,0.1364880348
54,0.0884573424,0.1102792125,0.5964966675,0.1587936411,0.0728107432,0.1421063363
55,0.0922777883,0.1143242800,0.6193118432,0.1662699073,0.0765192774,0.1472739263
56,0.0999939371,0.1233056970,0.6209808879,0.1739030580,0.0822746218,0.1605120774
57,0.0988605358,0.1204666897,0.6275037054,0.1660733312,0.0818270759,0.1586174501
58,0.1010639418,0.1261499235,0.6223076698,0.1780827719,0.0847989702,0.1636456140
59,0.1039958569,0.1279527766,0.6204204688,0.1798696575,0.0871211583,0.1656225449
60,0.1053594307,0.1283548802,0.6240914091,0.1821970048,0.0885661248,0.1651799196
61,0.1050606743,0.1281765276,0.6128493038,0.1839484456,0.0871827458,0.1673811520
62,0.1032947183,0.1284295757,0.6024225447,0.1814522964,0.0887184168,0.1650207818
63,0.1061893868,0.1294125481,0.6084693504,0.1875434165,0.0901157921,0.1638399202
64,0.0957182291,0.1186792944,0.6196198460,0.1680291210,0.0812630731,0.1544337481
