frame_idx,srno,edsr,basicvsrpp,rvrt,resshift50m,wrd_kcs_wsdf
0,0.1695208493,0.2052929509,0.9183907842,0.2955679674,0.1479073860,0.2608253565
1,0.1706965573,0.1990330366,0.9029990930,0.2859384446,0.1430719231,0.2477530275
2,0.1807010427,0.2129079758,0.9388557531,0.2878044685,0.1582187152,0.2596923289
3,0.1734590745,0.2030363580,0.9392768194,0.2876878139,0.1523238145,0.2586428504
4,0.1686157325,0.2009034507,0.9796485515,0.2984107511,0.1474454198,0.2656567054
5,0.1763756539,0.2082575249,0.9660504789,0.3055866521,0.1526490360,0.2679751239
6,0.1689900353,0.2078923738,0.9333974038,0.3044656411,0.1508008199,0.2634318198
7,0.1687102253,0.2023952639,0.9177259018,0.2909055435,0.1504686624,0.2575087196
8,0.1666961648,0.2032820681,0.9456514768,0.2903442210,0.1455512242,0.2520112574
9,0.1684719560,0.2082716345,0.9155243359,0.2917325327,0.1486362184,0.2516760938
10,0.1637464836,0.1969132167,0.9358092857,0.2871462407,0.1464217340,0.2486823160
11,0.1612225789,0.1944680894,0.8843698508,0.2739300675,0.1418157587,0.2478147790
12,0.1649804289,0.1974261985,0.9103769581,0.2885122538,0.1402320235,0.2512235353
13,0.1732730591,0.1992037935,0.8952568819,0.2850291818,0.1458100631,0.2547226087
14,0.1617089705,0.1949057717,0.8392659267,0.2698912988,0.1441488034,0.2330656681
15,0.1529666790,0.1777555377,0.8584549294,0.2522323348,0.1277812963,0.2242565160
16,0.1533483642,0.1813902778,0.8794893087,0.2589119957,0.1293564574,0.2225590652
17,0.1395362712,0.1632191779,0.8625891864,0.2389427331,0.1157472101,0.2110507101
18,0.1398436769,0.1652390012,0.8711810221,0.2446471374,0.1167444894,0.2089648213
19,0.1507070074,0.1842714593,0.9050148797,0.2668947632,0.1311659662,0.2363432667
20,0.1575937024,0.1811987723,0.9284518938,0.2653222861,0.1304697642,0.2348944970
21,0.1582481106,0.1926256756,0.9165398370,0.2793783351,0.1375830333,0.2535508765
22,0.1648028472,0.1947931455,0.9272960925,0.2774679475,0.1450962170,0.2468932075
23,0.1556794260,0.1861971446,0.8765394412,0.2673191272,0.1363326509,0.2329949242
24,0.1577597051,0.1886801490,0.8713601169,0.2682391509,0.1411225893,0.2361678283
25,0.1554414495,0.1893931628,0.8992547518,0.2683846527,0.1331626341,0.2384057641
26,0.1581621513,0.1873526000,0.9644188471,0.2780812133,0.1358173305,0.2452152530
27,0.1657168080,0.1948484026,0.9477848006,0.2867000317,0.1402124208,0.2467016482
28,0.1643956355,0.1940123210,0.9134553008,0.2816009019,0.1412381624,0.2500538588
29,0.1724157469,0.2024131455,0.9512468113,0.2934718612,0.1490881699,0.2525266487
30,0.1732618796,0.2008939420,0.9860225900,0.2906291051,0.1562685133,0.2532971414
31,0.1632387254,0.2000809107,0.9628303374,0.2917117769,0.1444615318,0.2545292602
32,0.1655745926,0.1986885150,0.9502333872,0.2956624576,0.1414404221,0.2529427203
