frame_idx,basicvsrpp,vrt,rvrt,sdift,wdno,wrd_kcs_wsdf
0,0.6268264745,0.6230780527,0.1840652725,4.8258307550,0.4713603314,0.1695419218
1,0.6114654581,0.6060509299,0.1824934069,4.8164579300,0.4712224569,0.1634532931
2,0.6365805997,0.6337559149,0.1823504713,4.6479030611,0.4762976434,0.1690185951
3,0.6387893199,0.6352635744,0.1844765443,4.3732505408,0.4656689742,0.1700468805
4,0.6682908841,0.6640798383,0.1936556724,4.2139155161,0.4832148748,0.1765735473
5,0.6479669220,0.6438425895,0.1928746756,4.2585135823,0.4702047042,0.1755729563
6,0.6317758385,0.6289744646,0.1934360216,4.3871314360,0.4923011476,0.1706000972
7,0.6308328642,0.6278953926,0.1878442106,4.3511540612,0.4713678003,0.1705739519
8,0.6399652864,0.6372364808,0.1865810637,4.3720096814,0.4894308185,0.1674513635
9,0.6139049724,0.6116993054,0.1862927707,4.1911611258,0.4660552067,0.1708809032
10,0.6293990065,0.6257515491,0.1842916256,4.0754847698,0.4867083081,0.1660584457
11,0.6013634225,0.5996236703,0.1767083415,4.1422215995,0.4537922561,0.1629280311
12,0.6230300467,0.6222778378,0.1796647724,4.0890940302,0.4805879474,0.1636035135
13,0.6122037395,0.6103541222,0.1805024692,4.1064987088,0.4517324698,0.1667441518
14,0.5615347388,0.5600031981,0.1659462340,3.9653070090,0.4699200675,0.1501170396
15,0.5837788774,0.5825593702,0.1568081035,3.9942478043,0.4336832786,0.1471175517
16,0.6025092698,0.6018272467,0.1590250200,4.0216199187,0.4674244454,0.1435879938
17,0.5820906353,0.5805843595,0.1510275377,4.0158782243,0.4329524380,0.1401388823
18,0.5881442346,0.5856005169,0.1530814001,4.0260712994,0.4635810065,0.1394026092
19,0.6172973325,0.6136463708,0.1691746665,4.0567441218,0.4501462940,0.1558007232
20,0.6248216769,0.6243812396,0.1698708955,4.1807999730,0.4800330396,0.1577577834
21,0.6133758362,0.6126254550,0.1747321825,4.1686200117,0.4638114084,0.1608934987
22,0.6190307776,0.6149447694,0.1765092507,4.0964270124,0.4903430577,0.1575437228
23,0.5932906435,0.5909550242,0.1706998606,4.1265559243,0.4533357972,0.1583272687
24,0.5856493290,0.5846663709,0.1680892204,4.2760951669,0.4789941898,0.1535187141
25,0.6091543245,0.6082899360,0.1694451637,4.1860870200,0.4521545978,0.1549562953
26,0.6459712290,0.6435934610,0.1756483586,4.1049581387,0.4846350421,0.1585935886
27,0.6287043909,0.6251933892,0.1767063586,4.1033361601,0.4580553600,0.1623836557
28,0.6138931744,0.6133184460,0.1792396087,4.1589069453,0.4825918051,0.1607253505
29,0.6466142019,0.6454300012,0.1834915599,4.2432611085,0.4661500815,0.1650597772
30,0.6690487141,0.6680742560,0.1839667089,4.2952817895,0.4877472338,0.1673430651
31,0.6339054664,0.6328222466,0.1837662245,4.2422355486,0.4674041990,0.1673353124
32,0.6379764952,0.6362226366,0.1848779221,4.1720917716,0.4847267304,0.1645532934
33,0.6668543875,0.6659046148,0.1860978231,4.2249161658,0.4679935876,0.1718479219
34,0.6472538029,0.6466756717,0.1889465060,4.1291577364,0.4847876732,0.1710540374
35,0.5977464845,0.5968657974,0.1795864920,4.0217737057,0.4555489336,0.1642469471
36,0.5974543751,0.5976875392,0.1775655655,3.9889076281,0.4792003454,0.1613369538
37,0.5995467174,0.5996019855,0.1682158003,3.9938009527,0.4475909902,0.1557233639
38,0.5956815867,0.5943139988,0.1616444170,4.0074141990,0.4717345719,0.1464697708
39,0.5986704923,0.5973101539,0.1643182788,3.9362781772,0.4509248356,0.1482330671
40,0.5961761392,0.5952056482,0.1670109082,3.9180807233,0.4756506179,0.1438690903
41,0.5862983050,0.5855936049,0.1565075409,3.9485370582,0.4353227386,0.1441036061
42,0.5835495380,0.5830183335,0.1574405484,3.8800548163,0.4658887377,0.1409507751
43,0.5709148468,0.5686905151,0.1538725773,3.9186918098,0.4280804593,0.1425979442
44,0.5735715882,0.5718331405,0.1501352612,3.9400119058,0.4635207479,0.1331780662
45,0.5627605203,0.5620435007,0.1504870948,3.9678283906,0.4319023615,0.1404221396
46,0.5682276667,0.5666969018,0.1427807183,3.9728976958,0.4695498101,0.1298225502
47,0.5822750470,0.5814706697,0.1475577753,3.9161663707,0.4398601657,0.1335007217
48,0.5874390391,0.5866148970,0.1448111917,3.9513213121,0.4719874427,0.1331840136
49,0.5644689054,0.5642667828,0.1540218073,3.9602796718,0.4368120582,0.1405475843
50,0.5502469314,0.5487270479,0.1463238682,4.0196724964,0.4792410724,0.1341859373
51,0.5716070206,0.5712232123,0.1508645670,4.0817612053,0.4330854655,0.1386559082
52,0.5893306199,0.5866884906,0.1465542613,4.0857785506,0.4760719139,0.1352186508
53,0.5999682484,0.5972286902,0.1512069574,4.2002099061,0.4399747863,0.1391243591
54,0.5964966675,0.5936065272,0.1587936411,4.2534228418,0.4817222468,0.1414891398
55,0.6193118432,0.6152767570,0.1662699073,4.2938752010,0.4553055965,0.1542777434
56,0.6209808879,0.6161862249,0.1739030580,4.1935753043,0.4865250802,0.1609589407
57,0.6275037054,0.6221576447,0.1660733312,4.1337934159,0.4588162356,0.1620643637
58,0.6223076698,0.6187654404,0.1780827719,4.1245698537,0.4938173794,0.1621002513
59,0.6204204688,0.6177195456,0.1798696575,4.2039664015,0.4716893379,0.1668830812
60,0.6240914091,0.6215220959,0.1821970048,4.2003317749,0.4922090888,0.1640739785
61,0.6128493038,0.6098646297,0.1839484456,4.1252904161,0.4687317349,0.1709057794
62,0.6024225447,0.6008295651,0.1814522964,3.9581627785,0.4887408362,0.1663792930
63,0.6084693504,0.6067749076,0.1875434165,3.9436465227,0.4704880965,0.1676747452
64,0.6196198460,0.6165246876,0.1680291210,3.9907197078,0.4844401066,0.1519029304
65,0.6121383309,0.6079221259,0.1689630178,4.0636934858,0.4484113297,0.1592172214
66,0.5736294457,0.5699940165,0.1653501135,4.0196664088,0.4806454773,0.1496424913
67,0.5762425934,0.5732458799,0.1545271625,4.0185739793,0.4357419248,0.1469107192
68,0.5886424712,0.5846984121,0.1500990473,3.9194537227,0.4796999191,0.1360564383
69,0.5680135317,0.5664447057,0.1497817603,3.9283491325,0.4362103235,0.1393057943
70,0.5542473047,0.5536832815,0.1575129935,3.9683961768,0.4852443135,0.1420195811
71,0.5583878409,0.5575796452,0.1550201820,3.8730911753,0.4428437621,0.1438035077
72,0.5455445747,0.5432383386,0.1494992975,3.7968579590,0.4775968575,0.1367241313
73,0.5546931676,0.5530959116,0.1473264037,3.8653558545,0.4328697572,0.1346604576
74,0.5682343530,0.5661007343,0.1507310711,3.8460108169,0.4848543950,0.1353026560
75,0.5596309109,0.5565021354,0.1535319115,3.7564542122,0.4417987849,0.1429075994
76,0.5656214331,0.5627064947,0.1591720355,3.6748801052,0.4816569039,0.1430436442
77,0.5389956620,0.5380956295,0.1541571662,3.6677935622,0.4373774761,0.1398761946
78,0.5379026804,0.5366652314,0.1460964822,3.7004215034,0.4706695172,0.1289267432
79,0.5436595161,0.5403596161,0.1468984684,3.6538344608,0.4223696998,0.1364150328
80,0.5334451986,0.5325782329,0.1417532722,3.6127695524,0.4670665896,0.1277488402
81,0.5157239335,0.5139898932,0.1373723158,3.6316642353,0.4159702160,0.1281693203
82,0.5210389538,0.5193763859,0.1381202510,3.5540695784,0.4664635870,0.1276408236
83,0.5338439764,0.5330054516,0.1366864382,3.5642761289,0.4204398443,0.1254764706
84,0.5448596016,0.5449259366,0.1381841893,3.5912499677,0.4712100912,0.1261105184
85,0.5641942529,0.5630303618,0.1459113577,3.6267065698,0.4323435180,0.1333440337
86,0.5630934124,0.5619236752,0.1404643551,3.6976280862,0.4751049663,0.1289346779
87,0.5820420290,0.5812346375,0.1485327395,3.7426500427,0.4394677824,0.1360708825
88,0.6058180618,0.6045970525,0.1539979549,3.8334773983,0.4799472161,0.1362562706
89,0.5900404000,0.5883299097,0.1519918335,3.9018045359,0.4409970597,0.1390202146
90,0.5759625988,0.5756309389,0.1472697269,3.9003371260,0.4750833293,0.1319767893
91,0.5738853068,0.5750935098,0.1526696506,3.9281580037,0.4388547319,0.1436764702
92,0.6069661777,0.6065097497,0.1623912381,3.9646589594,0.4869282939,0.1446511609
93,0.6086015946,0.6056378883,0.1669423157,3.9781336788,0.4567478545,0.1527386269
94,0.5864987915,0.5858044979,0.1603822161,3.9978766244,0.4894065083,0.1473453134
95,0.5791506212,0.5792703749,0.1529997515,3.9370958229,0.4427131292,0.1442527027
96,0.5671000142,0.5674082828,0.1535319802,3.9914675666,0.4775756120,0.1465438116
97,0.5981355327,0.5978048624,0.1530496483,3.9255137445,0.4396272640,0.1434708581
98,0.5892425181,0.5874162883,0.1549592316,4.0223393567,0.4838077587,0.1403408032
99,0.5762511604,0.5767318906,0.1557350777,4.0382198789,0.4436305092,0.1466359991
100,0.6036700772,0.6032528438,0.1572446188,4.0509592065,0.4832601148,0.1422325888
101,0.6131806925,0.6121887522,0.1702543286,4.0693329183,0.4599222728,0.1549324766
102,0.6099303440,0.6074935348,0.1741026370,4.0793002778,0.4915689989,0.1575845339
103,0.6061315967,0.6061720893,0.1642300032,4.0517502522,0.4549400941,0.1548395039
104,0.6303645915,0.6291596532,0.1672561673,4.0688962634,0.4857552415,0.1516570910
105,0.6492324359,0.6472142080,0.1733782820,4.1389336253,0.4645212572,0.1588600319
106,0.6372717249,0.6348448941,0.1827938483,4.1202429546,0.4934210813,0.1637413907
107,0.6505036709,0.6478311855,0.1860473831,4.1077629621,0.4751591427,0.1738490335
108,0.6743643677,0.6705635512,0.1896771308,4.2213591079,0.4963800315,0.1736099840
109,0.6399877206,0.6383718716,0.1954399818,4.1503555969,0.4786637821,0.1775735537
110,0.6364697278,0.6351873189,0.1902740559,4.0926727701,0.4950926785,0.1737419840
111,0.6384425183,0.6377102637,0.1851259217,4.1107151432,0.4708097170,0.1734318297
112,0.6290507743,0.6277363469,0.1821746274,4.1835821225,0.4906127083,0.1651516706
113,0.6111297521,0.6085312826,0.1729720811,4.1542862005,0.4554888159,0.1624009899
114,0.6058149346,0.6053005002,0.1710170260,4.1563477468,0.4846683051,0.1562926708
115,0.5889386180,0.5888078370,0.1699210342,4.2628414134,0.4575377329,0.1582277659
116,0.6083073576,0.6072564198,0.1708287417,4.2566795708,0.4878010047,0.1575839052
117,0.6044427692,0.6021662244,0.1610974892,4.2830499718,0.4486770184,0.1519921795
