frame_idx,basicvsrpp,vrt,rvrt,sdift,wdno,wrd_kcs_wsdf
0,0.9183907842,0.9065172661,0.2955679674,6.3754119759,0.6394871001,0.2617056001
1,0.9029990930,0.8874733725,0.2859384446,6.4149830348,0.6372271444,0.2468304542
2,0.9388557531,0.9272527231,0.2878044685,6.2740565664,0.6290140172,0.2599816702
3,0.9392768194,0.9281574636,0.2876878139,5.9898030834,0.6150294151,0.2535338605
4,0.9796485515,0.9651154535,0.2984107511,5.7925576734,0.6296173241,0.2641296176
5,0.9660504789,0.9527376824,0.3055866521,5.8759476039,0.6243703296,0.2623838119
6,0.9333974038,0.9218000517,0.3044656411,6.0140755882,0.6453152795,0.2606420949
7,0.9177259018,0.9071428754,0.2909055435,6.0123566112,0.6352222542,0.2559795970
8,0.9456514768,0.9340223154,0.2903442210,5.9853481467,0.6355280958,0.2535512442
9,0.9155243359,0.9025024794,0.2917325327,5.7938328137,0.6187867614,0.2546822934
10,0.9358092857,0.9225101119,0.2871462407,5.6922701360,0.6349514260,0.2494053822
11,0.8843698508,0.8754712203,0.2739300675,5.7153985333,0.5969665968,0.2404864538
12,0.9103769581,0.9028251623,0.2885122538,5.6313435014,0.6222684890,0.2528403335
13,0.8952568819,0.8850539094,0.2850291818,5.6647501220,0.5957252984,0.2535938175
14,0.8392659267,0.8291065641,0.2698912988,5.5743032126,0.6073392786,0.2375356773
15,0.8584549294,0.8492993916,0.2522323348,5.5298703055,0.5753323454,0.2179512044
16,0.8794893087,0.8720294457,0.2589119957,5.5751545647,0.6054020901,0.2227227092
17,0.8625891864,0.8537262066,0.2389427331,5.6033131175,0.5712132320,0.2058502684
18,0.8711810221,0.8602658006,0.2446471374,5.6472072172,0.6025318988,0.2106036224
19,0.9050148797,0.8922319515,0.2668947632,5.6809847995,0.5983021641,0.2319875578
20,0.9284518938,0.9204049493,0.2653222861,5.8158545398,0.6297940513,0.2369919047
21,0.9165398370,0.9085412580,0.2793783351,5.7492107511,0.6214731477,0.2441730886
22,0.9272960925,0.9137302243,0.2774679475,5.6829087021,0.6516396564,0.2409355441
23,0.8765394412,0.8649718791,0.2673191272,5.7395399121,0.6066864038,0.2364652391
24,0.8713601169,0.8616283914,0.2682391509,5.8571215637,0.6399965434,0.2358450992
25,0.8992547518,0.8898470398,0.2683846527,5.8141737541,0.6380513485,0.2330288509
26,0.9644188471,0.9530574472,0.2780812133,5.7944329651,0.6361315617,0.2396372036
