frame_idx,srno,edsr,basicvsrpp,rvrt,resshift50m,wrd_kcs_wsdf
0,0.0024889965,0.0031399688,0.0023467400,0.0022646924,0.0023015316,0.0027441729
1,0.0009816476,0.0011373451,0.0010861750,0.0009817770,0.0009115141,0.0014032366
2,0.0006858239,0.0008394092,0.0007401690,0.0007662061,0.0006102628,0.0012287519
3,0.0005826093,0.0007497293,0.0005812477,0.0006555261,0.0004978291,0.0010963265
4,0.0005854970,0.0007497666,0.0005518912,0.0007840259,0.0004847358,0.0011243670
5,0.0006652068,0.0008424025,0.0006149862,0.0008675729,0.0005604234,0.0010468292
6,0.0008011973,0.0010350325,0.0007672343,0.0010864171,0.0007255540,0.0011424682
7,0.0009192745,0.0012282651,0.0010177200,0.0014296556,0.0009646984,0.0012471408
8,0.0010429704,0.0014648948,0.0013747494,0.0023606997,0.0012151887,0.0015220658
9,0.0012805049,0.0017597947,0.0019212358,0.0029682533,0.0013667200,0.0017934028
10,0.0014790275,0.0022633575,0.0025711149,0.0044797865,0.0014658793,0.0023723060
11,0.0019940202,0.0030802417,0.0034646956,0.0058753373,0.0017867487,0.0028626102
12,0.0028232633,0.0041905944,0.0047970042,0.0078308785,0.0023861070,0.0037813693
13,0.0038412099,0.0056534020,0.0064666085,0.0095535246,0.0035858864,0.0045951581
14,0.0044897310,0.0067601279,0.0075976415,0.0108224163,0.0042194071,0.0055402361
15,0.0052298611,0.0076702087,0.0079106685,0.0115937905,0.0050365829,0.0059033127
16,0.0054643096,0.0077499939,0.0078966975,0.0121455483,0.0053514191,0.0064806749
17,0.0055400258,0.0077892105,0.0078281510,0.0116596585,0.0054567785,0.0066082496
18,0.0057569032,0.0079087472,0.0074625551,0.0114381564,0.0060927549,0.0064481166
19,0.0058461023,0.0075378689,0.0069754929,0.0114017295,0.0059242197,0.0063675461
20,0.0057008115,0.0074213036,0.0064866159,0.0107611087,0.0058946998,0.0062635653
21,0.0050716719,0.0070104328,0.0061134332,0.0101271889,0.0054152588,0.0060319421
22,0.0050096754,0.0067225138,0.0056973952,0.0095803030,0.0057241702,0.0057873284
23,0.0047334499,0.0065688769,0.0056031412,0.0094250301,0.0051256288,0.0055472521
24,0.0049569492,0.0067486472,0.0052252908,0.0089230846,0.0051757218,0.0054969507
25,0.0043375114,0.0061222455,0.0050962571,0.0087567715,0.0046307354,0.0053342277
26,0.0041511900,0.0057115409,0.0048797641,0.0084678980,0.0042390406,0.0052634298
27,0.0042557942,0.0058663526,0.0048234322,0.0082933206,0.0043439490,0.0051642123
28,0.0041711537,0.0059105051,0.0048860981,0.0082917781,0.0045662528,0.0051324578
29,0.0041867870,0.0059833634,0.0047285208,0.0080627692,0.0044438998,0.0049515624
30,0.0039111836,0.0055950477,0.0045666571,0.0077347334,0.0043561933,0.0048245130
31,0.0039035325,0.0054156026,0.0044539490,0.0077727353,0.0042568995,0.0047995145
32,0.0038694926,0.0054671128,0.0042589580,0.0072476788,0.0042712562,0.0047801179
33,0.0037850013,0.0049942618,0.0039729777,0.0070624635,0.0040709705,0.0044553031
34,0.0037485765,0.0050285966,0.0039095181,0.0069539373,0.0039947675,0.0042938273
35,0.0039135714,0.0051130159,0.0038882502,0.0069440965,0.0038603981,0.0042898155
36,0.0036964332,0.0048830634,0.0039926494,0.0070178157,0.0036821290,0.0041989910
37,0.0035509658,0.0047643084,0.0038486777,0.0069972896,0.0037212712,0.0041783882
38,0.0036199844,0.0047926005,0.0039143164,0.0070398501,0.0038499925,0.0039776383
39,0.0033389679,0.0045784786,0.0038611145,0.0068890194,0.0035158930,0.0038963836
40,0.0033395740,0.0047458668,0.0037258927,0.0068273097,0.0034902160,0.0038146096
41,0.0031410717,0.0044318599,0.0034920913,0.0067279621,0.0035031147,0.0038848057
42,0.0033051870,0.0044560004,0.0034723113,0.0066812629,0.0033664745,0.0038041815
43,0.0030989880,0.0040880608,0.0034607249,0.0067528077,0.0032586659,0.0037017762
44,0.0030041020,0.0039366473,0.0033735072,0.0064275859,0.0031318015,0.0035746962
45,0.0030741064,0.0038158154,0.0032450876,0.0061951469,0.0029523614,0.0034802532
46,0.0028333981,0.0037550345,0.0032157603,0.0061779789,0.0027036342,0.0034372250
47,0.0028771586,0.0039612800,0.0031695021,0.0063228160,0.0028354963,0.0033991442
48,0.0027997750,0.0037886049,0.0031282270,0.0061710331,0.0028471247,0.0033643318
49,0.0028870526,0.0037847998,0.0030799569,0.0062686421,0.0028071058,0.0032615802
50,0.0024916151,0.0034989881,0.0029323333,0.0059095096,0.0026111407,0.0032013139
51,0.0025831240,0.0035764860,0.0030151074,0.0059603144,0.0026070754,0.0031235963
52,0.0025758599,0.0035760051,0.0028924323,0.0059724794,0.0026503176,0.0031102481
53,0.0025938463,0.0034706370,0.0028874299,0.0059145482,0.0024980058,0.0030993059
54,0.0024755317,0.0035828236,0.0028345125,0.0059457528,0.0024180182,0.0030435214
55,0.0024759291,0.0033489023,0.0027955423,0.0059021023,0.0023729047,0.0029051635
56,0.0023379739,0.0032838188,0.0027156547,0.0057096272,0.0023113340,0.0027690289
57,0.0024195877,0.0031800458,0.0026478822,0.0055608319,0.0022249410,0.0027017670
58,0.0022981745,0.0031363306,0.0025400709,0.0053082249,0.0022244798,0.0025897172
59,0.0022762129,0.0031616902,0.0024799139,0.0054527102,0.0021553203,0.0026021123
60,0.0023041431,0.0031677463,0.0025584034,0.0054109362,0.0022110010,0.0025968404
61,0.0022028608,0.0029505017,0.0025272145,0.0052623666,0.0020680565,0.0025591746
62,0.0022836691,0.0030704432,0.0025363019,0.0053304899,0.0022486693,0.0025939339
63,0.0022731088,0.0030306019,0.0024689095,0.0054168499,0.0022397021,0.0024974348
64,0.0022385292,0.0030588286,0.0024225722,0.0052205788,0.0021634005,0.0024803041
65,0.0021001007,0.0029556626,0.0024098755,0.0051202919,0.0020236375,0.0024754314
66,0.0020257797,0.0028240564,0.0023387889,0.0048801233,0.0019028762,0.0024062411
67,0.0019911054,0.0028028783,0.0023227991,0.0049465002,0.0018865031,0.0023590235
68,0.0020639945,0.0027724885,0.0022058498,0.0049402257,0.0019150132,0.0022558488
69,0.0019232386,0.0027313575,0.0021422225,0.0049487950,0.0018148832,0.0021801095
70,0.0018021680,0.0025827659,0.0021040543,0.0048971766,0.0017303182,0.0021398356
71,0.0019063161,0.0026045049,0.0021597540,0.0048395561,0.0017416582,0.0021180349
72,0.0018750091,0.0026217020,0.0020688575,0.0047179390,0.0016990937,0.0020543258
73,0.0018126243,0.0026630481,0.0020027664,0.0047109018,0.0017589907,0.0019552318
74,0.0018114638,0.0026051335,0.0019639563,0.0046520255,0.0016829937,0.0019606545
75,0.0018125242,0.0024739269,0.0019009713,0.0046270321,0.0016031153,0.0019464622
76,0.0017663202,0.0023500761,0.0018945314,0.0045589296,0.0015394462,0.0018955967
77,0.0016909728,0.0023513580,0.0018165548,0.0046015072,0.0016014200,0.0018808805
78,0.0018278589,0.0023618032,0.0018596373,0.0045675659,0.0015561238,0.0018459360
79,0.0017532225,0.0023409711,0.0017942684,0.0045539902,0.0014676395,0.0018236576
80,0.0017681039,0.0023003168,0.0017915318,0.0045195523,0.0015539414,0.0018453948
81,0.0016869834,0.0023146667,0.0018293643,0.0045053502,0.0015126113,0.0018319632
82,0.0016387350,0.0023097199,0.0017745705,0.0044268861,0.0014438579,0.0018237370
83,0.0017165760,0.0024033375,0.0017926399,0.0045643590,0.0014233741,0.0017761908
84,0.0016876730,0.0023004134,0.0018168181,0.0045155491,0.0014012812,0.0018157864
85,0.0016860967,0.0023670391,0.0017994502,0.0045374364,0.0014688254,0.0018031970
86,0.0015953587,0.0023528864,0.0017857607,0.0043624923,0.0014002333,0.0017943372
87,0.0015670066,0.0021900501,0.0017523680,0.0043112125,0.0012786528,0.0017895458
88,0.0015837801,0.0022240262,0.0018075261,0.0042358482,0.0013349529,0.0017724792
89,0.0015754654,0.0021979105,0.0018243388,0.0042586320,0.0012985627,0.0017852447
90,0.0015978931,0.0021697050,0.0018268194,0.0042857604,0.0013243552,0.0017842484
91,0.0017323718,0.0022402742,0.0018355701,0.0044664692,0.0014241737,0.0017726943
92,0.0017024962,0.0022348721,0.0017814366,0.0045038769,0.0013572224,0.0018084637
93,0.0016913564,0.0022151751,0.0017783012,0.0045220125,0.0014171821,0.0018599331
94,0.0016357321,0.0022511751,0.0018274093,0.0044450202,0.0013664923,0.0019194335
95,0.0016313070,0.0022664161,0.0018791088,0.0045428762,0.0013660097,0.0019183673
96,0.0016627059,0.0022844674,0.0019646012,0.0033193536,0.0014158934,0.0019776214
97,0.0017054358,0.0023423396,0.0020652067,0.0033737711,0.0014921620,0.0020819960
98,0.0017980275,0.0022793430,0.0021305316,0.0027400672,0.0014960500,0.0022399148
99,0.0019010128,0.0023649718,0.0027684645,0.0028390691,0.0016809088,0.0026880906
