frame_idx,srno,edsr,basicvsrpp,rvrt,resshift50m,wrd_kcs_wsdf
0,0.0036890522,0.0044787128,0.0036716630,0.0035514478,0.0035207810,0.0038541354
1,0.0014751179,0.0016725517,0.0016851335,0.0014767211,0.0015026687,0.0019025599
2,0.0010109027,0.0012180944,0.0011197811,0.0011198706,0.0009883254,0.0015875704
3,0.0008493632,0.0010684172,0.0008917904,0.0009547632,0.0007870532,0.0014011992
4,0.0009029526,0.0011034629,0.0009160297,0.0012110192,0.0008327568,0.0014272516
5,0.0011990755,0.0013866184,0.0012250699,0.0015022428,0.0011534050,0.0014126294
6,0.0016476998,0.0019867580,0.0017982857,0.0021737103,0.0017622449,0.0016565224
7,0.0020768015,0.0026281732,0.0026653934,0.0032229749,0.0026107160,0.0020741540
8,0.0025446859,0.0034771055,0.0039490384,0.0064068148,0.0035485050,0.0027624188
9,0.0033228503,0.0044039374,0.0058683156,0.0078778396,0.0041425617,0.0037799103
10,0.0038560255,0.0057892496,0.0082076725,0.0124617682,0.0045548423,0.0055133319
11,0.0052659566,0.0086173185,0.0110677492,0.0166878019,0.0058731314,0.0072381825
12,0.0086381115,0.0112575222,0.0145556448,0.0216526483,0.0076970407,0.0092168817
13,0.0107320540,0.0145869022,0.0184659123,0.0250235416,0.0115939677,0.0112203316
14,0.0119369322,0.0169715515,0.0198491934,0.0266512425,0.0121053935,0.0126940564
15,0.0139668437,0.0185989274,0.0192253052,0.0273806865,0.0136730064,0.0131559491
16,0.0138835691,0.0176613166,0.0181756203,0.0276391642,0.0139596124,0.0138971737
17,0.0132801896,0.0171089730,0.0181999466,0.0252765128,0.0133580992,0.0139214942
18,0.0147732862,0.0187423497,0.0173110556,0.0252197508,0.0172305033,0.0131163806
19,0.0150290285,0.0172574692,0.0159507407,0.0247753720,0.0158570907,0.0127771176
20,0.0141807203,0.0171268887,0.0145475622,0.0231225674,0.0157575069,0.0126836265
21,0.0117639962,0.0158420526,0.0132208802,0.0208724181,0.0133189880,0.0121408341
22,0.0122731582,0.0150503292,0.0120766499,0.0202517049,0.0158263682,0.0114845333
23,0.0121187657,0.0156051841,0.0121832012,0.0200524608,0.0134781599,0.0111685673
24,0.0135665148,0.0168015514,0.0112506652,0.0189960361,0.0142501330,0.0111703677
25,0.0098660620,0.0137732109,0.0109776405,0.0185527271,0.0119648594,0.0105223905
26,0.0089432199,0.0118152854,0.0104272838,0.0173129346,0.0104544240,0.0105517478
27,0.0096766595,0.0130291704,0.0103203439,0.0172225076,0.0104688721,0.0105209689
28,0.0098734847,0.0132550950,0.0107031506,0.0174465285,0.0111758021,0.0104100087
29,0.0103269543,0.0142228587,0.0103855213,0.0167903440,0.0110943545,0.0096719697
30,0.0089832536,0.0122271891,0.0100538415,0.0159992276,0.0105955909,0.0094763044
31,0.0086826741,0.0122941294,0.0098799668,0.0166052485,0.0105844910,0.0096591759
32,0.0084790921,0.0125283623,0.0092798205,0.0148202535,0.0106390025,0.0095114678
33,0.0082523891,0.0109506194,0.0085975600,0.0146249540,0.0098128034,0.0086447557
34,0.0093173461,0.0121873545,0.0086696471,0.0150751609,0.0105261720,0.0085242371
35,0.0109799204,0.0132172201,0.0090136076,0.0151889816,0.0109310210,0.0088477660
36,0.0088091674,0.0111352544,0.0094888688,0.0151201149,0.0094104716,0.0085928092
37,0.0089182658,0.0110567021,0.0089581339,0.0155748006,0.0097922409,0.0084636747
38,0.0094679483,0.0116125940,0.0091149624,0.0153903753,0.0104705674,0.0079769848
39,0.0078293285,0.0104241019,0.0091708142,0.0149953598,0.0091963475,0.0076376747
40,0.0079037690,0.0111911372,0.0085415212,0.0148797347,0.0090956044,0.0076027873
41,0.0071773706,0.0100426293,0.0079057647,0.0143467587,0.0095252354,0.0078814242
42,0.0082086150,0.0110916428,0.0080255655,0.0145159227,0.0093067196,0.0077870985
43,0.0070124615,0.0092763532,0.0079438875,0.0149957508,0.0090441829,0.0074638468
44,0.0065456391,0.0086019660,0.0076759172,0.0136280272,0.0077461341,0.0071980312
45,0.0076322816,0.0081511975,0.0072990621,0.0131440465,0.0077760381,0.0068485909
46,0.0062697989,0.0079053534,0.0072091751,0.0135234468,0.0066112283,0.0067755775
47,0.0069912645,0.0093096377,0.0073400186,0.0141663342,0.0072954420,0.0068988341
48,0.0066400605,0.0086448648,0.0071863786,0.0139693888,0.0076466314,0.0067718463
49,0.0069648355,0.0090487789,0.0069725276,0.0142753695,0.0077936514,0.0064109880
50,0.0054238186,0.0078360961,0.0066022620,0.0130796644,0.0065072182,0.0062953746
51,0.0057607519,0.0082474378,0.0069270334,0.0134148452,0.0066581739,0.0063141668
52,0.0058443350,0.0082177842,0.0066319645,0.0133558715,0.0070628291,0.0063402114
53,0.0060729694,0.0078717632,0.0066519008,0.0131003779,0.0062860726,0.0063116272
54,0.0055990408,0.0082642292,0.0065697827,0.0130661407,0.0060350766,0.0061518574
55,0.0054811394,0.0074803593,0.0063402702,0.0130226446,0.0058042844,0.0055877519
56,0.0051788662,0.0071789006,0.0062142647,0.0124468233,0.0058698940,0.0052517897
57,0.0056836557,0.0069183366,0.0061307235,0.0119029060,0.0057863528,0.0050897589
58,0.0052555941,0.0071341884,0.0058565649,0.0115779657,0.0060323383,0.0049400331
59,0.0051423330,0.0070559419,0.0055709562,0.0119978224,0.0056792297,0.0050113683
60,0.0053168664,0.0071682867,0.0059166697,0.0120989189,0.0061004482,0.0051335066
61,0.0047574565,0.0060995207,0.0058781025,0.0110973910,0.0052168135,0.0051375327
62,0.0050582215,0.0067179859,0.0058538394,0.0112905412,0.0059668990,0.0050901331
63,0.0052651315,0.0067409647,0.0057018365,0.0118906637,0.0062308794,0.0048665734
64,0.0054323513,0.0072414200,0.0056606928,0.0113122052,0.0060377572,0.0048394504
65,0.0048628134,0.0065722798,0.0057682095,0.0112320685,0.0054525734,0.0049629459
66,0.0044472765,0.0061444912,0.0055419374,0.0105579056,0.0049589782,0.0047362846
67,0.0042452161,0.0061703348,0.0053277686,0.0107987130,0.0047040568,0.0045420791
68,0.0046295536,0.0061250352,0.0049958435,0.0109549874,0.0052088447,0.0042728647
69,0.0041010650,0.0059703513,0.0048821323,0.0108742927,0.0048113917,0.0041290222
70,0.0037834735,0.0054893169,0.0049291108,0.0107041617,0.0044991204,0.0040793041
71,0.0042245391,0.0056378741,0.0053754131,0.0107892355,0.0045888555,0.0041716107
72,0.0042546040,0.0060048172,0.0048690738,0.0101392066,0.0045394986,0.0039861774
73,0.0042213019,0.0064364758,0.0045607562,0.0099012611,0.0050964340,0.0035876152
74,0.0041220319,0.0063575417,0.0044098389,0.0097153131,0.0047784948,0.0036053467
75,0.0040190003,0.0053379682,0.0043246565,0.0097489992,0.0043447052,0.0035681500
76,0.0040002756,0.0049600869,0.0042675673,0.0099438200,0.0040066964,0.0035153088
77,0.0036340769,0.0049085369,0.0040620676,0.0102168826,0.0043966766,0.0035387174
78,0.0044649120,0.0050815635,0.0042005760,0.0101694937,0.0042045269,0.0034999446
79,0.0041005488,0.0051192301,0.0040036355,0.0100186281,0.0037806025,0.0034701975
80,0.0040350616,0.0046791940,0.0040275986,0.0094853432,0.0041047192,0.0034457550
81,0.0035510574,0.0046244798,0.0039949150,0.0095141661,0.0039487939,0.0034518656
82,0.0034177814,0.0047815666,0.0038353878,0.0093340332,0.0034876695,0.0033727655
83,0.0037466785,0.0051457261,0.0039250346,0.0099965837,0.0035195022,0.0032354720
84,0.0035138977,0.0047398430,0.0041271999,0.0097474978,0.0033745517,0.0033960261
85,0.0035680866,0.0049746802,0.0040637658,0.0099236159,0.0038670971,0.0034009097
86,0.0031990281,0.0050807731,0.0040479742,0.0091018140,0.0036409563,0.0033205343
