frame_idx,srno,edsr,basicvsrpp,rvrt,resshift50m,wrd_kcs_wsdf
0,0.0107756075,0.0108673993,0.0106684236,0.0110524305,0.0131500344,0.0091329724
1,0.0062352231,0.0061619192,0.0056328675,0.0061066332,0.0070338927,0.0041678332
2,0.0052378682,0.0050860857,0.0045191752,0.0050237662,0.0056234767,0.0031476989
3,0.0046285858,0.0044503060,0.0038081419,0.0043773263,0.0048362097,0.0025690051
4,0.0041901950,0.0040004157,0.0033074582,0.0039703221,0.0042814421,0.0021764102
5,0.0038434733,0.0036442040,0.0029048027,0.0036168978,0.0038634110,0.0018904622
6,0.0035552368,0.0033613944,0.0025931165,0.0033720798,0.0035290920,0.0016587934
7,0.0033113537,0.0031260078,0.0023304216,0.0031418358,0.0032576604,0.0014748407
8,0.0031092964,0.0029226780,0.0021154153,0.0029522645,0.0030306060,0.0013200031
9,0.0029290270,0.0027515777,0.0019315483,0.0027867432,0.0028374627,0.0011933477
10,0.0027646400,0.0025906723,0.0017709985,0.0026320933,0.0026704645,0.0010845883
11,0.0026276774,0.0024529769,0.0016365669,0.0025002141,0.0025174201,0.0009890925
12,0.0025036781,0.0023300434,0.0015210116,0.0023912360,0.0023874406,0.0009070875
13,0.0023851694,0.0022104010,0.0014217849,0.0022915111,0.0022685432,0.0008328247
14,0.0022779178,0.0021104246,0.0013355844,0.0022152672,0.0021663565,0.0007719495
15,0.0021802541,0.0020150601,0.0012595957,0.0021367346,0.0020712181,0.0007198091
16,0.0020915822,0.0019312465,0.0011907895,0.0020659159,0.0019841489,0.0006658733
17,0.0020119180,0.0018618830,0.0011311852,0.0020041502,0.0019080957,0.0006217400
18,0.0019304902,0.0017895524,0.0010772536,0.0019415126,0.0018368804,0.0005858741
19,0.0018578324,0.0017290457,0.0010267263,0.0018847944,0.0017699412,0.0005515636
20,0.0017952700,0.0016784288,0.0009820957,0.0018363415,0.0017091495,0.0005220902
21,0.0017343575,0.0016198997,0.0009439007,0.0017850371,0.0016521356,0.0004941067
22,0.0016832258,0.0015777860,0.0009053085,0.0017392655,0.0015985128,0.0004707368
23,0.0016282969,0.0015290171,0.0008718957,0.0016957174,0.0015484570,0.0004479626
24,0.0015853304,0.0014826673,0.0008382702,0.0016509647,0.0015009260,0.0004275844
25,0.0015430877,0.0014465230,0.0008079167,0.0016094884,0.0014593945,0.0004082327
26,0.0015018430,0.0014071382,0.0007775799,0.0015769843,0.0014199736,0.0003935625
27,0.0014646208,0.0013694326,0.0007515187,0.0015391805,0.0013829898,0.0003791542
28,0.0014192267,0.0013370871,0.0007252792,0.0015089055,0.0013478981,0.0003653443
29,0.0013815920,0.0013022507,0.0007010862,0.0014726577,0.0013136394,0.0003501249
