frame_idx,srno,edsr,basicvsrpp,rvrt,resshift50m,wrd_kcs_wsdf
0,0.0149889258,0.0151420644,0.0158092546,0.0161327246,0.0175316715,0.0123243956
1,0.0082563808,0.0082117124,0.0076880138,0.0082037633,0.0092693306,0.0054690049
2,0.0069612154,0.0068004627,0.0061136502,0.0067458928,0.0074839822,0.0041596507
3,0.0061711989,0.0059721032,0.0051503898,0.0058864105,0.0064750592,0.0034161475
4,0.0056018119,0.0053838408,0.0044722454,0.0053389567,0.0057631317,0.0029101667
5,0.0051556239,0.0049149659,0.0039344398,0.0048741535,0.0052205466,0.0025381227
6,0.0047909248,0.0045484430,0.0035181496,0.0045506169,0.0047891538,0.0022374963
7,0.0044883572,0.0042465328,0.0031711669,0.0042560792,0.0044382662,0.0019972968
8,0.0042319657,0.0039859058,0.0028902493,0.0040087939,0.0041477267,0.0017953821
9,0.0040054802,0.0037666181,0.0026430493,0.0038015516,0.0039014052,0.0016263057
10,0.0037970219,0.0035669925,0.0024317825,0.0036012809,0.0036924310,0.0014807014
11,0.0036188022,0.0033897326,0.0022520578,0.0034358657,0.0035003383,0.0013544552
12,0.0034644401,0.0032288985,0.0020993687,0.0032960703,0.0033356623,0.0012433814
13,0.0033143445,0.0030817890,0.0019660598,0.0031680271,0.0031845815,0.0011451756
14,0.0031770922,0.0029557798,0.0018490963,0.0030739115,0.0030546820,0.0010615634
15,0.0030565125,0.0028315595,0.0017449773,0.0029736651,0.0029326256,0.0009914734
16,0.0029417337,0.0027216862,0.0016526111,0.0028811692,0.0028192430,0.0009180868
17,0.0028386064,0.0026269093,0.0015726105,0.0028064762,0.0027210721,0.0008590693
18,0.0027391771,0.0025356019,0.0015001308,0.0027248857,0.0026333208,0.0008091042
19,0.0026442308,0.0024542773,0.0014316575,0.0026550169,0.0025477285,0.0007648186
20,0.0025663298,0.0023899973,0.0013732623,0.0025908607,0.0024694648,0.0007204846
21,0.0024882789,0.0023151863,0.0013201271,0.0025241229,0.0023949574,0.0006843587
22,0.0024231792,0.0022581803,0.0012694752,0.0024622847,0.0023244072,0.0006515601
23,0.0023539724,0.0021960691,0.0012259079,0.0024040255,0.0022577084,0.0006206527
24,0.0022979716,0.0021387052,0.0011802413,0.0023436184,0.0021952743,0.0005914461
25,0.0022399914,0.0020911244,0.0011379052,0.0022873017,0.0021409366,0.0005649647
26,0.0021828241,0.0020402886,0.0010971633,0.0022460510,0.0020882392,0.0005433626
27,0.0021350305,0.0019955375,0.0010607827,0.0021945010,0.0020421458,0.0005237635
28,0.0020746304,0.0019506476,0.0010247938,0.0021553761,0.0019961215,0.0005042512
29,0.0020278434,0.0019044874,0.0009917374,0.0021090677,0.0019505458,0.0004822934
30,0.0019830666,0.0018663765,0.0009607223,0.0020706765,0.0019058025,0.0004717428
31,0.0019403642,0.0018164748,0.0009309185,0.0020300278,0.0018622046,0.0004523977
32,0.0019077218,0.0017756218,0.0009077467,0.0019868749,0.0018193291,0.0004406493
33,0.0018796303,0.0017442260,0.0008828599,0.0019495690,0.0017815578,0.0004261610
34,0.0018478111,0.0017136232,0.0008593318,0.0019131554,0.0017432366,0.0004138987
35,0.0018041170,0.0016750012,0.0008389263,0.0018792206,0.0017053836,0.0004066318
36,0.0017755064,0.0016392775,0.0008206306,0.0018433339,0.0016662805,0.0003936153
37,0.0017382391,0.0016087585,0.0008056280,0.0018064121,0.0016343166,0.0003848172
38,0.0017058283,0.0015795172,0.0007869200,0.0017757784,0.0015993932,0.0003800514
39,0.0016704300,0.0015472449,0.0007742142,0.0017449097,0.0015687965,0.0003690697
40,0.0016353248,0.0015114494,0.0007597485,0.0017100489,0.0015320181,0.0003659222
41,0.0016062205,0.0014811317,0.0007458108,0.0016883048,0.0015024115,0.0003576113
42,0.0015792127,0.0014602005,0.0007359863,0.0016640478,0.0014755820,0.0003506555
43,0.0015525879,0.0014346080,0.0007218811,0.0016396402,0.0014465864,0.0003449590
44,0.0015195233,0.0014183077,0.0007074839,0.0016219525,0.0014218809,0.0003385839
45,0.0014882636,0.0013963872,0.0006941247,0.0016019420,0.0013969641,0.0003326148
46,0.0014649939,0.0013744246,0.0006784020,0.0015812770,0.0013710961,0.0003317354
47,0.0014397668,0.0013571058,0.0006662434,0.0015672314,0.0013477714,0.0003228112
48,0.0014120884,0.0013311549,0.0006505337,0.0015442870,0.0013219582,0.0003202093
49,0.0013940047,0.0013108074,0.0006342461,0.0015241840,0.0012975225,0.0003144538
50,0.0013664749,0.0012939169,0.0006206205,0.0014980949,0.0012769010,0.0003115683
51,0.0013479182,0.0012684719,0.0006096885,0.0014759486,0.0012581271,0.0003071921
52,0.0013273645,0.0012532101,0.0005997564,0.0014543481,0.0012406674,0.0003058469
53,0.0013033537,0.0012405381,0.0005905454,0.0014339416,0.0012254330,0.0002989725
54,0.0012859555,0.0012255449,0.0005850092,0.0014198653,0.0012118431,0.0002996164
55,0.0012639424,0.0012136884,0.0005781990,0.0013944680,0.0011979776,0.0002930929
56,0.0012497578,0.0012103969,0.0005755052,0.0013916318,0.0011888631,0.0002934833
57,0.0012419440,0.0011990426,0.0005734733,0.0013759887,0.0011734029,0.0002929924
58,0.0012313822,0.0011878065,0.0005714219,0.0013638651,0.0011640779,0.0002901411
59,0.0012222993,0.0011795699,0.0005679085,0.0013489881,0.0011520269,0.0002873694
60,0.0012120232,0.0011704676,0.0005655201,0.0013307378,0.0011408951,0.0002878139
61,0.0011980849,0.0011614212,0.0005648148,0.0013178877,0.0011270220,0.0002843456
62,0.0011797898,0.0011455889,0.0005627612,0.0013112985,0.0011109199,0.0002877042
63,0.0011663178,0.0011289445,0.0005642724,0.0013050763,0.0010944125,0.0002880880
64,0.0011522619,0.0011130156,0.0005662428,0.0013129126,0.0010781455,0.0002869707
65,0.0011355743,0.0010952726,0.0005692672,0.0013085855,0.0010620093,0.0002881848
66,0.0011198490,0.0010788921,0.0005728088,0.0012982587,0.0010413078,0.0002986331
67,0.0011080911,0.0010611535,0.0005807586,0.0012808299,0.0010207982,0.0002975908
68,0.0010957244,0.0010397908,0.0005952004,0.0011286788,0.0010000536,0.0003139160
69,0.0010773170,0.0010230781,0.0006203296,0.0011121330,0.0009805972,0.0003148488
70,0.0010586313,0.0010017081,0.0006360165,0.0010881045,0.0009599188,0.0003342897
71,0.0010422893,0.0009843105,0.0006830796,0.0010729307,0.0009432873,0.0003677809
