rank,global_frame,seq_id,t,score,selection_mode,rmse_bilinear,rmse_resshift50m,rmse_wrd_full,mae_bilinear,mae_resshift50m,mae_wrd_full,rel_improve_vs_resshift,rel_improve_vs_bilinear,structure,panel_png
1,110,4,14,0.52183688,strict_wrd_best,0.68580383,0.38000569,0.32249326,0.44675177,0.23979527,0.20213595,0.15134624,0.52975875,1.13343644,qualitative/panels/era5/rank01_seq004_t014.png
2,123,5,3,0.49563068,strict_wrd_best,0.69734907,0.55719805,0.43145564,0.47409353,0.39520717,0.29805741,0.22566915,0.38129172,1.09238851,qualitative/panels/era5/rank02_seq005_t003.png
3,116,4,20,0.49145591,strict_wrd_best,0.71854085,0.39074978,0.34544951,0.46456495,0.26060665,0.22284605,0.11593167,0.51923472,1.14532924,qualitative/panels/era5/rank03_seq004_t020.png
4,108,4,12,0.48820877,strict_wrd_best,0.64568841,0.34350666,0.30299306,0.43274170,0.21387327,0.18944675,0.11794125,0.53074414,1.13262498,qualitative/panels/era5/rank04_seq004_t012.png
5,114,4,18,0.48427474,strict_wrd_best,0.71743947,0.36731309,0.33073056,0.46223396,0.24192473,0.21057549,0.09959495,0.53901261,1.14564025,qualitative/panels/era5/rank05_seq004_t018.png
6,94,3,22,0.47242090,strict_wrd_best,0.73658538,0.54309595,0.45016468,0.51788473,0.39301789,0.31993759,0.17111391,0.38884929,1.12640691,qualitative/panels/era5/rank06_seq003_t022.png
7,84,3,12,0.46628904,strict_wrd_best,0.71050578,0.71688473,0.53032935,0.51649135,0.52385688,0.38552099,0.26023066,0.25358897,1.08455253,qualitative/panels/era5/rank07_seq003_t012.png
8,77,3,5,0.45667928,strict_wrd_best,0.70907825,0.64032578,0.49790728,0.50302368,0.46376127,0.35077113,0.22241570,0.29781052,1.09466326,qualitative/panels/era5/rank08_seq003_t005.png
9,74,3,2,0.44347376,strict_wrd_best,0.71047121,0.64586592,0.50095463,0.50707543,0.46846822,0.36086693,0.22436745,0.29489806,1.07780695,qualitative/panels/era5/rank09_seq003_t002.png
10,132,5,12,0.43983132,strict_wrd_best,0.65417790,0.61199588,0.45735398,0.47075430,0.44639173,0.33268845,0.25268453,0.30087218,1.03562820,qualitative/panels/era5/rank10_seq005_t012.png
11,68,2,20,0.43367410,strict_wrd_best,0.68911588,0.59953713,0.46631193,0.48844275,0.43493873,0.33193219,0.22221343,0.32331854,1.05293047,qualitative/panels/era5/rank11_seq002_t020.png
12,127,5,7,0.42786044,strict_wrd_best,0.69034618,0.62341690,0.49533832,0.49038503,0.45174441,0.33984441,0.20544611,0.28247836,1.08863759,qualitative/panels/era5/rank12_seq005_t007.png
13,121,5,1,0.41809160,strict_wrd_best,0.68711752,0.49874365,0.42956752,0.46394789,0.35606021,0.29853213,0.13870078,0.37482670,1.10740888,qualitative/panels/era5/rank13_seq005_t001.png
14,45,1,21,0.41502175,strict_wrd_best,0.72333032,0.59455401,0.47347221,0.48708403,0.42011416,0.32086855,0.20365147,0.34542739,1.04070902,qualitative/panels/era5/rank14_seq001_t021.png
15,70,2,22,0.39000231,strict_wrd_best,0.70676368,0.63488328,0.51452178,0.50341147,0.46723428,0.37089977,0.18958053,0.27200308,1.06760335,qualitative/panels/era5/rank15_seq002_t022.png
16,65,2,17,0.33625838,strict_wrd_best,0.66597080,0.53182209,0.45632687,0.46016955,0.37867123,0.31235874,0.14195576,0.31479448,1.03671265,qualitative/panels/era5/rank16_seq002_t017.png
