rank,global_frame,seq_id,t,score,selection_mode,rmse_bilinear,rmse_resshift50m,rmse_wrd_full,mae_bilinear,mae_resshift50m,mae_wrd_full,rel_improve_vs_resshift,rel_improve_vs_bilinear,structure,panel_png
1,1046,5,146,-0.15844274,relaxed_better_than_bilinear,0.99582464,0.20902470,0.28034845,0.64084625,0.11764426,0.18505909,-0.34122166,0.71847606,0.72047579,qualitative/panels/kf256/rank01_seq005_t146.png
2,1248,6,168,-0.19674928,relaxed_better_than_bilinear,0.96229357,0.21441247,0.29509196,0.68549567,0.12634456,0.19991148,-0.37628171,0.69334519,0.74221069,qualitative/panels/kf256/rank02_seq006_t168.png
3,301,1,121,-0.22812691,relaxed_better_than_bilinear,0.92500752,0.16386513,0.22538489,0.64141798,0.08760993,0.14283320,-0.37542921,0.75634265,0.64936793,qualitative/panels/kf256/rank03_seq001_t121.png
4,182,1,2,-0.23436445,relaxed_better_than_bilinear,0.92491698,0.18825603,0.25770339,0.63232225,0.09675133,0.16132508,-0.36889851,0.72137672,0.63409913,qualitative/panels/kf256/rank04_seq001_t002.png
5,1026,5,126,-0.23519865,relaxed_better_than_bilinear,1.08866262,0.23342374,0.32578567,0.69407260,0.13381928,0.20639829,-0.39568353,0.70074695,0.70989609,qualitative/panels/kf256/rank05_seq005_t126.png
6,122,0,122,-0.24897018,relaxed_better_than_bilinear,0.96117789,0.19963065,0.27760828,0.64465451,0.10195650,0.16803086,-0.39060950,0.71117908,0.66413617,qualitative/panels/kf256/rank06_seq000_t122.png
7,287,1,107,-0.27118334,relaxed_better_than_bilinear,0.96392673,0.17811330,0.25536621,0.68043649,0.10084786,0.16886482,-0.43372905,0.73507714,0.71959656,qualitative/panels/kf256/rank07_seq001_t107.png
8,1188,6,108,-0.27225858,relaxed_better_than_bilinear,1.18643820,0.19714810,0.28710768,0.79179311,0.11812438,0.19026926,-0.45630455,0.75800872,0.76609302,qualitative/panels/kf256/rank08_seq006_t108.png
9,1110,6,30,-0.28017449,relaxed_better_than_bilinear,1.04355681,0.19520336,0.28805658,0.76761323,0.11785081,0.19285794,-0.47567427,0.72396654,0.81371653,qualitative/panels/kf256/rank09_seq006_t030.png
10,926,5,26,-0.28680041,relaxed_better_than_bilinear,1.01536250,0.18960583,0.27433607,0.72005892,0.11429146,0.18729129,-0.44687569,0.72981465,0.72344828,qualitative/panels/kf256/rank10_seq005_t026.png
11,740,4,20,-0.29127744,relaxed_better_than_bilinear,0.88371885,0.15024857,0.21701378,0.63025343,0.08669180,0.14612444,-0.44436499,0.75443119,0.69760340,qualitative/panels/kf256/rank11_seq004_t020.png
12,1008,5,108,-0.29131305,relaxed_better_than_bilinear,1.05167532,0.23270787,0.34329414,0.71839368,0.13640828,0.21783006,-0.47521499,0.67357403,0.81034833,qualitative/panels/kf256/rank12_seq005_t108.png
13,91,0,91,-0.29136127,relaxed_better_than_bilinear,1.00306630,0.20890881,0.30876175,0.70459586,0.11983054,0.20290545,-0.47797379,0.69218212,0.80968595,qualitative/panels/kf256/rank13_seq000_t091.png
14,213,1,33,-0.31213087,relaxed_better_than_bilinear,0.92232811,0.13836044,0.19982122,0.61909080,0.08327200,0.13528986,-0.44420773,0.78335124,0.64229274,qualitative/panels/kf256/rank14_seq001_t033.png
15,1151,6,71,-0.31294692,relaxed_better_than_bilinear,0.92722011,0.15612972,0.22606601,0.64653814,0.09390501,0.15449208,-0.44793707,0.75618953,0.66141671,qualitative/panels/kf256/rank15_seq006_t071.png
16,480,2,120,-0.31801498,relaxed_better_than_bilinear,0.87657928,0.16922377,0.24561794,0.61207229,0.09297015,0.15656585,-0.45143875,0.71979952,0.67499399,qualitative/panels/kf256/rank16_seq002_t120.png
17,894,4,174,-0.31854200,relaxed_better_than_bilinear,1.00740039,0.16958807,0.24946156,0.71331424,0.09372986,0.15768780,-0.47098529,0.75237101,0.71084237,qualitative/panels/kf256/rank17_seq004_t174.png
18,864,4,144,-0.32760119,relaxed_better_than_bilinear,1.13655245,0.21504191,0.32614076,0.78755176,0.12743704,0.21610707,-0.51663816,0.71304381,0.82600713,qualitative/panels/kf256/rank18_seq004_t144.png
19,730,4,10,-0.33015162,relaxed_better_than_bilinear,1.03630173,0.21704696,0.32947755,0.74547803,0.12847076,0.21830168,-0.51800120,0.68206406,0.83703315,qualitative/panels/kf256/rank19_seq004_t010.png
20,707,3,167,-0.35068995,relaxed_better_than_bilinear,1.24642992,0.22257751,0.34465748,0.82600379,0.13470657,0.23165011,-0.54848295,0.72348428,0.85616076,qualitative/panels/kf256/rank20_seq003_t167.png
