rank,global_frame,seq_id,t,score,selection_mode,rmse_bilinear,rmse_resshift50m,rmse_wrd_full,mae_bilinear,mae_resshift50m,mae_wrd_full,rel_improve_vs_resshift,rel_improve_vs_bilinear,structure,panel_png
1,424,4,24,1.18741775,strict_wrd_best,0.04584647,0.02853800,0.00842435,0.02536344,0.00844981,0.00454809,0.70480222,0.81624854,0.03092809,qualitative/panels/rbc/rank01_seq004_t024.png
2,937,9,37,1.18256903,strict_wrd_best,0.04367800,0.02114694,0.00659651,0.02525431,0.00582080,0.00357504,0.68806332,0.84897417,0.03023671,qualitative/panels/rbc/rank02_seq009_t037.png
3,168,1,68,1.10398948,strict_wrd_best,0.03717539,0.01389947,0.00537793,0.02363811,0.00415706,0.00293364,0.61308366,0.85533619,0.02866150,qualitative/panels/rbc/rank03_seq001_t068.png
4,618,6,18,1.08836186,strict_wrd_best,0.05712879,0.03279305,0.01309991,0.02996185,0.00828447,0.00632624,0.60052776,0.77069503,0.03719648,qualitative/panels/rbc/rank04_seq006_t018.png
5,613,6,13,1.08464468,strict_wrd_best,0.05993790,0.01989946,0.00845801,0.02645268,0.00438367,0.00375861,0.57496279,0.85888708,0.03284849,qualitative/panels/rbc/rank05_seq006_t013.png
6,238,2,38,1.06716299,strict_wrd_best,0.04483924,0.02120753,0.00871603,0.02597773,0.00622078,0.00449653,0.58901238,0.80561602,0.03100599,qualitative/panels/rbc/rank06_seq002_t038.png
7,397,3,97,1.03594685,strict_wrd_best,0.03618334,0.00862763,0.00401153,0.02144155,0.00238364,0.00216524,0.53503722,0.88913333,0.02739288,qualitative/panels/rbc/rank07_seq003_t097.png
8,1029,10,29,1.03552246,strict_wrd_best,0.04219728,0.01337060,0.00623641,0.02564344,0.00481383,0.00374288,0.53357279,0.85220820,0.03169641,qualitative/panels/rbc/rank08_seq010_t029.png
9,125,1,25,1.02815688,strict_wrd_best,0.04318538,0.02424648,0.01040850,0.02438622,0.00583834,0.00511485,0.57072109,0.75898093,0.03107204,qualitative/panels/rbc/rank09_seq001_t025.png
10,1018,10,18,1.02720463,strict_wrd_best,0.04913146,0.02933339,0.01259467,0.02616281,0.00747613,0.00611538,0.57063699,0.74365354,0.03254158,qualitative/panels/rbc/rank10_seq010_t018.png
11,34,0,34,1.02675211,strict_wrd_best,0.03889311,0.01766792,0.00773657,0.02251114,0.00452421,0.00403542,0.56211221,0.80108136,0.02821029,qualitative/panels/rbc/rank11_seq000_t034.png
12,832,8,32,1.01418543,strict_wrd_best,0.04015401,0.02532699,0.01073815,0.02297317,0.00652240,0.00592830,0.57601959,0.73257595,0.02927137,qualitative/panels/rbc/rank12_seq008_t032.png
13,549,5,49,1.00925946,strict_wrd_best,0.03977966,0.01517858,0.00715194,0.02363024,0.00393521,0.00388328,0.52881342,0.82021105,0.02996465,qualitative/panels/rbc/rank13_seq005_t049.png
14,158,1,58,0.98426718,strict_wrd_best,0.04137820,0.01239983,0.00623534,0.02350170,0.00393740,0.00318886,0.49714255,0.84930843,0.02840101,qualitative/panels/rbc/rank14_seq001_t058.png
15,221,2,21,0.97785878,strict_wrd_best,0.05539921,0.02827825,0.01403446,0.03047825,0.00903194,0.00695895,0.50370139,0.74666685,0.03649839,qualitative/panels/rbc/rank15_seq002_t021.png
16,1149,11,49,0.97402251,strict_wrd_best,0.04344033,0.01036159,0.00550466,0.02487114,0.00353969,0.00320808,0.46874359,0.87328219,0.03019643,qualitative/panels/rbc/rank16_seq011_t049.png
17,822,8,22,0.94351292,strict_wrd_best,0.05596493,0.02323282,0.01275366,0.03228441,0.00833345,0.00696196,0.45104966,0.77211326,0.03816921,qualitative/panels/rbc/rank17_seq008_t022.png
18,191,1,91,0.92745888,strict_wrd_best,0.03869258,0.00736833,0.00427597,0.02326680,0.00234471,0.00227056,0.41968349,0.88948876,0.02902733,qualitative/panels/rbc/rank18_seq001_t091.png
19,1128,11,28,0.91167146,strict_wrd_best,0.04181987,0.01374928,0.00780914,0.02425641,0.00387164,0.00408456,0.43203306,0.81326723,0.03052942,qualitative/panels/rbc/rank19_seq011_t028.png
20,343,3,43,0.90244645,strict_wrd_best,0.03908921,0.01563962,0.00859627,0.02288324,0.00432357,0.00393886,0.45035276,0.78008574,0.02745513,qualitative/panels/rbc/rank20_seq003_t043.png
