rank,global_frame,seq_id,t,score,selection_mode,rmse_bilinear,rmse_resshift50m,rmse_wrd_full,mae_bilinear,mae_resshift50m,mae_wrd_full,rel_improve_vs_resshift,rel_improve_vs_bilinear,structure,panel_png
1,1280,17,56,1.24897492,strict_wrd_best,0.00416399,0.00200165,0.00034915,0.00324367,0.00122404,0.00025876,0.82557029,0.91615063,0.00439222,qualitative/panels/sw/rank01_seq017_t056.png
2,560,7,56,1.24788415,strict_wrd_best,0.00408454,0.00190410,0.00033560,0.00316251,0.00117527,0.00025216,0.82375044,0.91783726,0.00438479,qualitative/panels/sw/rank02_seq007_t056.png
3,341,4,53,1.24603641,strict_wrd_best,0.00404909,0.00206290,0.00036126,0.00310103,0.00130830,0.00026524,0.82487690,0.91077948,0.00443497,qualitative/panels/sw/rank03_seq004_t053.png
4,1276,17,52,1.24586284,strict_wrd_best,0.00439332,0.00208248,0.00037072,0.00342973,0.00129780,0.00027503,0.82198060,0.91561699,0.00457078,qualitative/panels/sw/rank04_seq017_t052.png
5,1347,18,51,1.24526441,strict_wrd_best,0.00417075,0.00209486,0.00036907,0.00321947,0.00132773,0.00027599,0.82382011,0.91150922,0.00442412,qualitative/panels/sw/rank05_seq018_t051.png
6,338,4,50,1.24289501,strict_wrd_best,0.00413737,0.00210022,0.00037420,0.00316049,0.00133123,0.00027873,0.82183075,0.90955722,0.00454809,qualitative/panels/sw/rank06_seq004_t050.png
7,1344,18,48,1.24232602,strict_wrd_best,0.00435966,0.00218029,0.00039077,0.00335061,0.00139276,0.00029236,0.82076955,0.91036588,0.00458005,qualitative/panels/sw/rank07_seq018_t048.png
8,1273,17,49,1.24214745,strict_wrd_best,0.00454287,0.00211388,0.00038510,0.00356564,0.00133465,0.00028386,0.81782520,0.91523087,0.00472348,qualitative/panels/sw/rank08_seq017_t049.png
9,557,7,53,1.24130166,strict_wrd_best,0.00416849,0.00193051,0.00035201,0.00323786,0.00121777,0.00026288,0.81766057,0.91555506,0.00451773,qualitative/panels/sw/rank09_seq007_t053.png
10,1266,17,42,1.24067271,strict_wrd_best,0.00469129,0.00235395,0.00042829,0.00363223,0.00151558,0.00031451,0.81805605,0.90870589,0.00502965,qualitative/panels/sw/rank10_seq017_t042.png
11,335,4,47,1.23946643,strict_wrd_best,0.00423753,0.00216915,0.00039264,0.00324129,0.00137612,0.00029269,0.81898969,0.90734261,0.00464990,qualitative/panels/sw/rank11_seq004_t047.png
12,554,7,50,1.23428416,strict_wrd_best,0.00423226,0.00195493,0.00036856,0.00325589,0.00123365,0.00027826,0.81147212,0.91291678,0.00460682,qualitative/panels/sw/rank12_seq007_t050.png
13,543,7,39,1.23242426,strict_wrd_best,0.00471309,0.00248281,0.00046514,0.00365741,0.00156635,0.00035196,0.81265599,0.90130895,0.00514912,qualitative/panels/sw/rank13_seq007_t039.png
14,332,4,44,1.22985685,strict_wrd_best,0.00433624,0.00225660,0.00042578,0.00331971,0.00143043,0.00031525,0.81131941,0.90180957,0.00478685,qualitative/panels/sw/rank14_seq004_t044.png
15,1333,18,37,1.22917855,strict_wrd_best,0.00491541,0.00269936,0.00050880,0.00378336,0.00177828,0.00037395,0.81151253,0.89648962,0.00516562,qualitative/panels/sw/rank15_seq018_t037.png
16,1341,18,45,1.22806633,strict_wrd_best,0.00442513,0.00224489,0.00042844,0.00338708,0.00144533,0.00031484,0.80914783,0.90317965,0.00472828,qualitative/panels/sw/rank16_seq018_t045.png
17,177,2,33,1.22756946,strict_wrd_best,0.00482806,0.00240578,0.00046623,0.00376201,0.00158490,0.00035081,0.80620503,0.90343368,0.00530834,qualitative/panels/sw/rank17_seq002_t033.png
18,1415,19,47,1.22529197,strict_wrd_best,0.00418483,0.00166930,0.00033495,0.00328177,0.00106990,0.00025328,0.79934949,0.91996193,0.00459690,qualitative/panels/sw/rank18_seq019_t047.png
19,200,2,56,1.22413290,strict_wrd_best,0.00390029,0.00151609,0.00030574,0.00301532,0.00095970,0.00023102,0.79833400,0.92161018,0.00437665,qualitative/panels/sw/rank19_seq002_t056.png
20,1412,19,44,1.22308290,strict_wrd_best,0.00433556,0.00173753,0.00035241,0.00341056,0.00111066,0.00026556,0.79717642,0.91871578,0.00472748,qualitative/panels/sw/rank20_seq019_t044.png
